Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150
0,169053,175181,179196,175987,180807,164077,183845,179614,175277,168348,155534,162712,175121,174435,146691,167990,173887,175589,171516,158378,179189,176682,186624,171337,181419,183327,160213,177394,180049,177604,163405,187917,157418,160923,172742,175457,166970,172911,169405,173551,170591,156002,162094,188170,162043,172086,178636,165888,152727,170270,171412,168006,189775,168354,175416,165289,162568,161261,164129,173027,162781,166884,172883,161809,165497,163065,165225,163099,163215,165134,161437,171226,158175,168007,157370,184322,175992,162739,173090,182785,154388,174350,165842,172682,165329,168101,164119,164665,173385,166913,188911,176207,165661,170686,158291,187485,182484,174334,171435,167531,171473,160889,167126,173429,173719,181035,177010,162944,176328,176331,161571,177299,174275,168991,182812,164587,182460,162994,169178,183360,164107,167717,165700,165649,167853,176025,161020,177725,179536,168308,173816,161715,166571,166570,169772,159564,161407,164082,164976,174506,161894,167605,172617,176702,164894,167744,176584,178281,162646,184571
1,146691,152727,154388,155534,156002,157370,181201,168340,173093,168554,165999,172191,163352,166885,172451,184711,158592,168292,162487,158407,159287,166551,162871,165220,157829,170517,171912,180764,175185,176431,177971,174352,188563,169205,166442,154937,171253,174690,166539,171933,165142,168431,169922,165125,169032,153773,176069,166983,158750,170258,173364,167351,159855,161263,163926,168206,164386,162135,153589,168582,172911,163758,167542,156693,168499,174529,165167,168444,169046,179933,165423,168203,173529,176933,167230,172064,174599,162177,181035,172009,161699,166668,161937,164676,172775,168940,179594,172660,171106,167948,162181,178216,168153,158647,182563,170955,161024,166688,184402,170768,167123,165881,167816,162163,168882,169815,159375,165318,167126,162674,184039,169522,178754,162094,174514,176328,174631,158514,177422,156764,171637,172918,176090,178570,169825,166067,172375,175089,166265,166427,167778,160923,163532,171419,155854,156026,166423,171457,171808,166040,160409,188855,176212,178257,165509,174074,169581,173912,166292,181094
2,146691,152727,153589,153773,154388,154937,165103,164445,167187,180123,176382,182236,151662,183970,170412,177836,158045,164529,162166,174963,166351,178237,175171,164469,158895,160389,174009,166909,178667,164982,164037,169156,169229,156017,166981,160792,167392,179187,169189,168253,165643,171286,179649,164331,164168,173527,172371,175479,176485,151410,157073,168582,166983,177045,168354,147939,177548,166912,170995,181112,177512,186610,171046,163503,177772,172277,179950,178234,169539,188397,162487,175185,162343,176364,173912,160501,168767,159170,167258,174457,157084,162003,172755,162759,168569,179109,158470,168507,167934,182792,167816,163482,160392,166772,178890,167921,165336,151672,169046,174074,166694,151742,169000,168541,180946,173718,158233,178907,178116,170253,185218,172114,186993,166555,171577,168488,169460,178322,178051,170054,174856,174944,169704,173894,153773,162074,168911,170636,185053,157370,169204,175126,170685,161541,159855,170213,171993,177514,185804,161370,158462,174189,173820,175767,161691,172273,170734,171805,178135,157503
3,146691,147939,151410,151662,151672,151742,164223,162525,178626,179698,171329,160998,175300,160851,167845,160147,175395,164445,159254,167663,165512,168926,169168,149339,167701,164359,170113,172135,156953,186766,166123,171729,171371,170221,179685,191441,170068,169222,167164,161283,162505,165077,154720,182399,187481,163566,167797,184713,172593,163401,176336,170464,160410,162815,177222,171546,170539,168819,187241,175018,181956,165191,165076,179846,172578,158035,189469,162498,166025,166216,170636,186556,182301,177702,166238,162206,165248,189822,153033,162879,168821,173247,169865,174457,173528,176203,156012,171203,156407,179341,155669,157462,166555,181607,164552,156471,176695,166269,166192,158730,175879,183186,163517,161701,177032,172694,178270,175325,151234,164660,175846,163823,162827,171823,174740,170514,169174,165147,175895,161264,166573,173803,171991,177689,167834,162012,164732,158073,165988,171036,160578,177253,175417,171006,175469,169105,168814,169694,173718,170300,178211,162840,167774,166315,155910,171853,182017,175425,176804,164202
4,146691,147939,149339,151234,151410,151662,162733,166453,182640,169175,184605,179827,180103,171526,169313,176737,153587,172274,171060,176699,154744,171383,167375,189053,169655,168234,160642,177878,187995,175814,154216,164488,165147,171348,173339,182315,159139,162273,172218,174462,170691,155104,159333,169658,183597,176674,175369,154676,161925,169570,181429,184713,167329,166788,181517,165735,168627,162727,170477,163241,163475,168689,151716,180415,191483,178462,160147,174842,170485,165490,154896,169594,182646,170218,185678,172187,170300,165248,154746,154053,191441,158207,171247,165304,174655,158451,164777,174402,162448,173660,164893,169745,162991,182300,175406,164422,151547,166372,165497,158009,182243,170078,166422,181817,163247,173083,164553,170893,171546,167655,182185,172353,164784,169300,173796,183277,172080,160166,187106,171749,171350,163504,175065,162446,186368,171904,181251,167237,177424,174387,176566,172177,165656,164895,164549,170117,163430,180409,161107,162318,169755,174997,165213,169371,160479,158063,168025,168748,184694,176067
5,146691,147939,149339,151234,151410,151547,177630,181423,157949,170634,160705,167414,172195,161663,171574,182122,164384,177447,174269,165137,164564,157254,171816,159315,183524,173005,167647,177510,168928,174575,172901,174967,162007,152921,166649,176850,179810,169232,164768,169601,168776,169053,170848,166914,167008,177404,173459,171523,163675,153086,188754,190656,164787,169838,149735,169525,178869,179146,158714,178881,173159,170328,162791,165638,163711,169730,168369,171338,171294,175402,160145,170303,175516,162681,173837,173255,165892,165156,159731,185108,163693,169913,154830,183750,155902,162583,171350,172549,170393,157052,168047,159655,159731,181393,169540,192062,161174,167296,176344,174636,159141,171251,163282,153587,179227,161496,167398,171132,163115,165702,164632,161311,164587,185427,183596,166618,177402,187111,179755,175577,171005,180545,181196,179378,153610,162088,164893,161014,168003,162655,164234,173974,182028,147939,177407,169284,170785,149876,176506,160159,175424,164775,167754,168159,161815,172484,174493,157524,178095,169620
6,146691,147939,147939,149339,149735,149876,177816,168400,166221,170851,167557,164953,184473,177586,160972,168275,187111,172195,185552,175528,171650,187886,168808,167251,180176,180635,172317,177391,173189,169715,177432,185248,159731,161663,169697,173317,159334,165000,168123,177225,163282,192211,179630,180440,179350,169565,172404,177178,173312,172549,158313,183342,168904,163990,165116,167900,176086,168343,174998,173093,171883,172171,175890,173557,167965,174624,172412,170834,164742,163873,166089,163861,171816,170653,155037,167852,166304,162949,179248,174232,172198,175212,161324,163282,176256,169359,178890,170782,171192,165790,168964,170317,175373,173620,178007,161866,167292,174029,177734,154722,165916,179380,164387,161306,168419,160530,159955,160411,171883,170568,180631,165087,173120,167655,176773,163693,171966,171429,174090,181051,164145,178070,163460,166246,163949,168941,175553,158674,160082,168911,165238,172207,158218,163502,179352,174002,166870,166685,170868,168405,187955,169968,156383,177437,165456,188100,167893,161764,173822,177901
7,146691,147939,147939,149339,149735,149876,169349,196552,167304,169376,167768,169417,173512,162249,171601,180310,158512,170520,184007,168911,166095,178588,157566,164440,179397,168448,168023,159667,176096,154696,182821,169630,163174,172098,170005,164616,170058,173466,196733,168896,163803,178450,169732,175500,154330,172377,165027,167394,169401,175723,175327,172655,176666,171687,169401,174551,178103,181036,174670,174610,170697,168600,169217,168640,168371,168247,184420,168907,157490,177011,162896,157674,177479,179828,184151,163854,163546,186753,168004,158313,169696,168661,171966,176256,161663,171650,158058,174880,188170,170977,182553,171088,160567,171358,181821,181935,164601,172381,151775,176730,186844,173842,169594,166995,171189,172317,180721,181154,177944,154927,169121,166931,166639,169568,164654,179207,172595,170190,167500,162473,188650,165065,174970,172640,191457,159521,180183,164501,169939,171800,169942,172147,173603,170621,175291,178678,170055,154900,180631,165641,183840,176951,156002,169503,164953,168816,173094,170074,171076,161248
8,146691,147939,147939,149339,149735,149876,174250,174901,161547,162137,162096,179157,167245,173463,171541,153540,168276,173013,154890,168074,178409,166467,169360,173829,171896,168950,164732,175598,166952,164690,172250,162451,166539,178973,170840,148672,157561,169226,168071,169711,172601,166299,166012,177693,156881,163888,176804,181761,170452,166320,160423,169819,161051,173137,170210,171773,162844,174030,168163,171832,168495,175631,166623,175440,165200,168126,169213,174782,172936,177116,171351,167039,170749,176504,149141,161738,161214,161789,166391,172014,184420,182534,165313,180143,170005,167304,164652,166973,168033,173681,157606,177758,165654,164314,169218,170446,174973,163251,166350,169217,169549,187194,167709,166820,176922,166136,170467,169184,179892,147202,177210,178661,169957,165031,168813,168883,172912,179529,174026,149795,153046,163355,154810,161106,174728,186384,177256,186911,176621,158151,165112,164149,161721,169304,170039,171688,190008,178476,174304,173745,167224,170294,179996,169475,149191,182193,186095,183426,180518,175517
9,146691,147202,147939,147939,148672,149141,167036,169489,162096,175419,176865,178988,174741,172945,175045,154342,176990,179157,158197,164791,172723,172482,170663,166753,168083,176610,159416,158766,172859,163943,177817,184681,176974,149229,158804,166660,179028,176431,169429,172806,178486,165230,170585,163065,165304,166052,170116,169256,170663,166246,168164,174386,171840,173874,164566,163697,156779,168854,162221,156549,179946,170678,169799,174030,162885,163600,173489,162507,162301,164852,167422,161408,171228,178966,176170,182659,168702,168624,163261,169553,166453,179362,160901,173243,171820,171758,172108,164447,159772,162458,170042,164215,162035,174398,173119,171508,173524,173715,179427,175904,159337,184188,170694,179954,184431,177809,191199,174927,164943,173390,170871,175260,184099,170521,160766,186927,182874,151103,180783,183435,160875,163623,167690,169463,173401,179325,170850,171185,177271,165837,172901,161249,164469,171594,163723,169984,164408,163011,175378,172316,179249,177559,166574,169924,165243,178652,184801,173418,160212,154027
