Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150,Individuo 151,Individuo 152,Individuo 153,Individuo 154,Individuo 155,Individuo 156,Individuo 157,Individuo 158,Individuo 159,Individuo 160,Individuo 161,Individuo 162,Individuo 163,Individuo 164,Individuo 165,Individuo 166,Individuo 167,Individuo 168,Individuo 169,Individuo 170,Individuo 171,Individuo 172,Individuo 173,Individuo 174,Individuo 175,Individuo 176,Individuo 177,Individuo 178,Individuo 179,Individuo 180,Individuo 181,Individuo 182,Individuo 183,Individuo 184,Individuo 185,Individuo 186,Individuo 187,Individuo 188,Individuo 189,Individuo 190,Individuo 191,Individuo 192,Individuo 193,Individuo 194,Individuo 195,Individuo 196,Individuo 197,Individuo 198,Individuo 199,Individuo 200
0,165024,173356,177947,172303,165462,179054,172877,162700,163794,166548,156073,172505,168953,180815,156558,172008,169591,154888,175418,179888,166201,171727,161711,171121,168186,168474,164897,164373,166108,187433,176844,175650,189859,171069,176990,175200,165638,192570,166642,159029,171282,172128,169438,172178,157290,160468,171357,157770,156961,157505,173898,169481,163531,155145,172359,168984,159182,173936,163224,175166,176401,175774,175306,179494,185657,168716,167507,163525,169963,176528,160735,161907,176015,159286,168684,165631,168597,171387,169597,172539,178352,163706,172614,165751,172162,177415,180876,179059,174623,171212,167304,168928,171248,165829,163282,176677,167254,171071,173100,171647,161550,163280,167166,174841,162365,176899,172274,174182,164970,166666,166233,167621,163201,189410,150666,164819,156434,172804,184634,159639,162243,161252,168912,172195,162134,168144,171755,175977,158434,167822,179612,161970,163717,155249,169689,159651,169388,161980,166143,164759,162277,170132,176587,172150,171415,180217,166076,172478,174696,192522,178456,175098,167839,165930,152491,166243,154218,170150,175783,169033,171499,178155,184113,167661,165823,166182,159624,163148,164629,176136,162709,171311,159625,164384,162662,168508,149340,162613,166555,170507,170452,176670,182771,165069,172078,154861,184302,167469,175655,169276,183720,175368,177754,174451,174703,170330,185074,166844,156169,176043
1,149340,150666,152491,154218,154861,154888,166595,163918,165985,161998,170936,173846,152420,172289,155563,168543,157005,154293,154946,152325,157297,161265,167998,167235,176874,186680,170392,168169,168815,170050,168623,162733,161617,176445,167024,163353,168336,172548,175101,162132,161241,166393,167971,168729,179785,176950,157772,173615,172685,159359,169543,166723,154327,164217,170305,171649,173784,169542,157796,170245,162805,162198,160597,176759,162261,159903,163723,154870,161061,179053,168203,160570,167444,170750,158402,165209,164323,191493,169667,158435,167617,167242,171233,176481,158395,157910,173179,170883,160148,167036,170237,179002,148959,169569,157239,156275,169632,165235,166912,161593,167772,164532,166376,165473,167621,173700,161519,173054,162115,166160,173087,156958,169514,163328,159386,175365,167871,154229,163464,168360,154237,170351,162712,164033,153615,157815,157737,162244,159622,165191,170859,179015,163358,184078,171858,153507,172819,166940,167619,162051,156867,165739,168675,167002,157460,165207,169727,171489,161387,164505,149066,173777,165243,175840,173576,165478,154516,164188,158438,171415,164510,166449,158222,159411,164952,169650,153257,169909,168974,182679,163324,168602,178854,167210,178109,172930,164904,158756,167526,164485,161031,166932,168284,165051,171120,172726,167429,171258,167258,165423,157559,153518,174711,165758,169145,171236,168193,176044,165378,168301
2,148959,149066,149340,150666,152325,152420,156565,166739,174576,165259,156308,161159,154957,157175,159622,157015,167477,175399,154327,164505,158594,165729,171697,169306,164222,159544,165362,172190,168186,159243,173344,152968,164282,177734,172321,148984,163997,170242,153646,165543,160193,168621,161606,155950,167867,168099,160570,154465,164807,154669,175521,158819,170572,158566,172825,154762,156048,174485,166625,155094,160521,172731,159201,158997,164203,174787,163213,172645,173831,161624,159278,159494,164737,164792,160415,172153,166149,167714,167939,171615,151571,177479,175325,154351,170262,163356,161056,155910,164342,177301,162015,164305,165799,163263,170792,155007,163773,169958,166533,164002,171861,165985,169786,154760,168405,170315,159066,169258,155086,168749,163337,152820,170122,157224,154508,156775,167843,160505,176354,165459,169864,164289,157239,167258,153728,164874,161885,164705,167435,153198,150496,151736,165563,164976,165955,158256,168377,170149,161298,167302,168009,168207,169419,178773,159917,161273,152045,149711,157281,152550,177507,170905,169694,178470,162912,165831,155764,158746,166120,163671,168198,175754,165493,156513,165869,157297,170130,183224,168083,162713,175746,162132,167335,170932,165979,161838,160294,163559,167730,154089,163262,170811,165021,159625,160080,161683,160358,160249,173485,173396,173660,173493,159960,165188,165770,165036,156696,165340,166701,166158
3,148959,148984,149066,149340,149711,150496,162918,170835,165444,174623,166892,164333,153473,165846,160819,154437,163176,179323,174233,157062,155421,157787,155546,174798,144526,164920,145744,151320,156897,163057,163799,167542,166412,163432,152166,167048,140239,167466,175603,156099,146927,150354,164290,169863,161764,145813,160457,167178,160215,159914,157438,158530,151081,158016,168003,160910,156047,155901,160076,164760,151356,159240,160885,169245,156522,157652,172568,162106,163627,156242,160159,168487,162763,176702,161707,159480,167421,164483,165599,153155,157823,159279,155192,160478,155165,153320,159304,157121,154592,177826,162153,159464,157133,156331,163254,180529,157664,155769,164074,162276,163575,160147,160675,161287,158819,159066,159489,162684,157404,150130,160143,157402,159511,164846,168752,165427,149702,161961,152240,158292,150070,166819,154137,156146,164416,159998,174325,172630,160959,157744,152509,169329,160034,164869,157957,166508,171121,159551,151359,157497,147624,152792,172200,168513,173835,159262,163051,169160,182049,175601,167488,168496,173951,161667,171088,153327,157771,168948,161604,164203,160333,165475,162467,161719,171155,156529,168884,160217,159921,158104,161110,164551,159646,164819,150153,163886,164065,144632,178426,179041,163182,173142,145863,155736,162534,162940,154426,159026,168912,165166,165839,153309,158472,152180,161369,161050,163821,158627,164690,175178
4,140239,144526,144632,145744,145813,145863,169029,157442,165496,147636,162342,164292,148840,143520,158731,150999,168760,157787,169830,171821,168477,171201,151454,161147,162721,160706,166165,154991,144083,152867,158038,160361,156172,152682,160873,154877,162344,160962,166835,158471,161143,161973,160115,158824,165748,165073,153607,177459,167555,158644,160587,160862,158243,158589,163768,156539,153883,163433,153885,169790,161129,154793,168337,150331,163706,155295,162857,161428,158501,164201,158551,161788,158059,169175,165074,169466,167291,162039,145770,168221,154680,146091,155568,153583,167080,160071,153507,156559,152191,158850,157485,160865,156992,157404,166231,162145,155692,159245,152469,156309,157777,159802,169068,154130,144730,158344,164600,149892,162390,153690,150673,158073,158880,158682,165666,164987,160139,166252,165622,167180,162254,167509,160698,160819,158125,158707,153513,150218,172995,163024,163567,162514,159846,167521,158291,160076,147317,153824,165488,179297,155904,155739,180467,168251,148429,157291,154489,153792,153471,161911,172146,160126,160612,166978,157727,167107,170859,151669,168008,166231,160995,164362,165422,156349,173013,168371,163896,158202,147967,161741,166581,171265,167390,154538,163104,154895,151100,162243,162269,166939,161236,164142,166511,158604,160243,161542,165359,166892,154696,163201,162270,165748,161450,162380,147943,162323,145095,164256,155604,159206
5,140239,143520,144083,144526,144632,144730,164639,169015,174535,162769,158895,164168,149681,165368,164678,160403,157064,158340,154166,157378,169371,170505,160587,156847,158039,162372,150019,148633,152751,163834,147096,156835,154927,155748,162947,157260,141386,156377,166184,157732,161931,161507,159949,159886,171253,145877,151115,152295,162044,151999,157345,168713,153108,166426,163805,163551,159029,145264,164728,165458,142945,161645,160986,162813,160937,152997,163478,161333,156069,150548,167644,163638,155422,151408,147254,158362,156349,145659,161969,170598,165533,158525,168107,156248,156495,163621,162255,174036,158157,165231,166714,156582,158009,152101,147110,145770,161150,159017,160909,142903,160360,157253,149620,162407,166676,158108,159971,164588,161859,149396,164743,161913,162007,156721,161966,172800,168084,153596,151404,151995,154553,144544,156915,153841,155436,144894,157906,161189,163104,172389,159255,157402,145284,167632,163028,156926,161243,158714,149373,147655,161750,160428,157723,144223,166817,166912,153489,164312,142429,152785,150071,154988,151516,159102,149147,163751,167306,159129,153593,163604,158329,158496,162070,159172,168963,152613,157888,158855,169217,155355,156527,148630,164144,153231,170770,159604,163355,152592,145198,146746,158896,163740,146311,163361,159319,153148,139115,150624,150092,150711,151342,149784,163772,147831,171285,156646,161488,163737,166258,161973
6,139115,140239,141386,142429,142903,142945,148722,156825,162456,149058,157520,162904,152456,168653,160985,168463,157333,173243,147848,160543,159064,138649,156871,153730,150355,157021,154542,164848,155766,158212,146255,138012,150516,156756,156433,162498,148694,161371,159849,153464,140468,147279,162051,159323,159235,163120,154494,147220,160029,158008,160978,151553,149232,153319,167581,169683,161622,160920,148603,166210,150630,162499,151943,160181,150751,161321,155093,159303,153528,162667,142145,153129,159016,145907,166814,165881,156721,153326,152937,160336,162012,177797,168903,155979,175023,154885,153293,167865,168134,175084,150390,148914,162845,155398,161920,148453,155823,166130,151972,150262,163234,157922,162469,163217,145915,146056,162408,153863,169285,165338,154615,148580,153502,164612,160631,165039,167936,165840,163840,162013,155232,167756,143156,167263,162117,155623,150087,164964,162086,172460,158805,152120,157494,158764,156118,156992,155818,156472,155838,163191,153584,151115,167342,171044,169794,173544,162159,149847,154506,155544,159078,168132,157710,146737,160069,156152,159355,164284,165818,144544,160242,170938,151959,145217,148731,147539,148265,154635,159412,161172,145513,162255,160718,150736,151808,172016,168112,150139,142640,146919,153083,158779,163788,148114,149472,154078,150375,159183,151168,166943,158956,164381,151642,147136,168827,169034,148077,158910,148118,167585
7,138012,138649,139115,140239,140468,141386,150749,161896,156931,161616,143047,167982,163219,171420,159656,144273,153386,154574,152376,144461,156225,158516,155473,156474,154825,153997,148694,141386,148723,158844,159460,156678,171460,161554,167823,172421,165558,163546,147065,137343,165177,156157,155070,160678,169575,165465,156951,143867,152765,157746,153585,149694,157399,160071,167823,163108,167069,155443,147164,150570,165695,147428,160916,161328,159264,145312,147396,150252,144834,163805,165154,160216,170500,160674,164698,151187,148127,163781,146404,155355,152602,161694,168132,156756,155923,162889,161982,168278,149458,149987,147241,159013,161635,164828,157419,141535,168255,149425,151605,152145,166496,141865,151959,150685,149236,157886,153493,151952,151102,157435,164662,162736,167648,172043,151823,157729,172967,164731,151212,157609,152166,156772,151698,170339,151325,167452,161693,165417,149812,152975,152422,165893,159340,146467,152787,160526,162299,160041,168267,146325,145449,154531,167539,163375,170802,154753,156580,152485,156657,149401,166862,151977,153522,158732,149695,156472,143969,145377,148200,150653,160894,153131,157520,146919,158427,154221,158071,151022,151795,147982,164396,164056,146850,146807,158490,163742,159310,158287,162562,156578,159519,157656,160570,155177,152871,142100,161507,158248,158836,167775,145552,163283,152038,158314,154975,160231,161456,166130,164684,161699
8,137343,138012,138649,139115,140239,140468,177639,167835,164703,164286,164519,151616,152867,145560,152291,144533,156109,161301,158180,173997,143960,147982,148372,158750,159977,149856,150160,163516,148618,158552,168390,169688,163164,151588,149425,158314,146930,161481,141446,159227,155443,148486,146937,167381,156586,164293,159646,142169,159889,151882,153997,149695,163504,169906,156017,152182,153053,153285,156587,137033,154724,153396,150742,160740,152344,154451,147583,164546,142440,155825,162679,154301,159328,170756,157548,149811,149859,152700,148998,163348,168149,172440,154413,145654,151963,149611,157419,151588,146924,142708,154684,159569,152885,138179,151016,149658,147207,153922,162925,170017,150780,155947,160912,171869,160118,148317,160297,163062,168177,157466,144513,152731,164325,156645,143214,159101,154775,152826,148195,161023,165318,160095,150207,174370,160818,164346,154278,149165,155401,160039,150836,155677,161448,162876,157806,160861,146770,139522,163748,145447,157873,162863,150395,145787,149283,158314,165966,172388,147694,163071,159788,146618,165050,169083,137904,138895,146736,147641,146461,148665,157970,145704,149805,148065,152929,152376,139216,156903,136397,136627,167305,160773,166888,162020,155067,148447,166191,149183,160562,161184,152632,161664,157010,167000,156067,151120,153963,148781,162113,137398,156745,156472,151815,149253,147503,155973,148963,148560,146499,141535
9,136397,136627,137033,137343,137398,137904,164895,153916,150380,166928,150061,150343,155121,158094,155870,157844,158596,172777,166140,152153,157802,154504,170092,161249,156745,146461,147675,137904,152972,163823,167829,158153,170618,156004,156875,156031,141535,154863,146625,161158,155199,152783,154470,150303,162661,159490,146697,158148,147359,154380,151342,155172,139356,158639,172723,167008,149937,151821,151841,140157,155747,167971,161806,152290,161633,156633,170907,163888,159506,151824,155055,169451,165408,163858,155608,141197,152939,163752,159408,172387,159972,151031,160803,156818,145284,166930,155584,141444,149033,150730,153295,149269,157866,154044,153982,154864,142042,162347,163985,151444,144669,142267,168967,156694,153400,163208,145623,153060,166578,152291,161253,147409,146488,157737,134764,160481,144050,160027,163913,163382,151332,156140,163052,158458,147944,150395,153285,141535,158753,158531,156770,159396,148534,155725,149403,155672,145625,136964,171326,162759,158377,164152,154194,151673,154782,138002,154884,148383,153129,149899,158571,142168,154405,156922,154153,165423,163664,157081,153180,147006,162543,155020,164724,167096,163874,160756,148897,140422,153285,148317,145338,156410,153477,164674,148652,156382,166842,145863,167665,152953,146640,143960,155005,148424,156888,162073,149043,161410,148414,149896,148528,140828,154345,140158,156088,149368,137965,152528,153808,145386
