Execução,Geração 1,Geração 2,Geração 3,Geração 4,Geração 5,Geração 6,Geração 7,Geração 8,Geração 9,Geração 10,Geração 11,Geração 12,Geração 13,Geração 14,Geração 15,Geração 16,Geração 17,Geração 18,Geração 19,Geração 20,Geração 21,Geração 22,Geração 23,Geração 24,Geração 25,Geração 26,Geração 27,Geração 28,Geração 29,Geração 30,Geração 31,Geração 32,Geração 33,Geração 34,Geração 35,Geração 36,Geração 37,Geração 38,Geração 39,Geração 40,Geração 41,Geração 42,Geração 43,Geração 44,Geração 45,Geração 46,Geração 47,Geração 48,Geração 49,Geração 50,Geração 51,Geração 52,Geração 53,Geração 54,Geração 55,Geração 56,Geração 57,Geração 58,Geração 59,Geração 60,Geração 61,Geração 62,Geração 63,Geração 64,Geração 65,Geração 66,Geração 67,Geração 68,Geração 69,Geração 70,Geração 71,Geração 72,Geração 73,Geração 74,Geração 75
1,5.6822058912048696,5.6933896995686064,5.1541869915912422,3.8414332729301091,1.9893388873134434,0.8825937713619559,0.4262410704037706,0.1462780513952793,0.0379064308498692,0.0181086754108259,0.0792322741644461,0.0993756952065040,0.0015683774889583,0.0968468101243394,0.0006594767686127,0.0748819830062788,0.0348545277118602,0.1512049784661136,0.0001382521766993,0.0672007978590951,0.0000212576396836,0.0000111573959317,0.0752082831293363,0.0425052720025972,0.1104686305343174,0.0702523939774350,0.0349484736500785,0.0348375190837031,0.0384545390755669,0.0655286743766837,0.1507496770217915,0.0363365156570018,0.0413394694791599,0.0754237747713783,0.0731251297300016,0.0665752634931189,0.0407893734804275,0.0000000000136750,0.0000000000134091,0.1104965247406969,0.0132862900409951,0.0531489991432930,0.0043980620884396,0.0000000000045734,0.0151868721414715,0.0748256938186603,0.0344011653136687,0.0389567950715624,0.0652922616799408,0.0651774583286647,0.1080924290951325,0.0416921618131867,0.0417757503591376,0.0000000000000263,0.0401909839906026,0.0000000000000106,0.0394851575987412,0.0000000000000029,0.0744470959674333,0.0000000000000009,0.0774923209056207,0.0000000000000008,0.1280278002401145,0.1724586948912534,0.1772179553719165,0.0289047667979827,0.0000000000000010,0.0755826686833713,0.0843773189375955,0.0000000000000005,0.0750608675494749,0.1521464995783541,0.0000000000000005,0.0456903163106989,0.1206076659906199
2,5.2352406621665697,4.5448780087371201,4.1142274177580882,3.8928780671537204,3.0744368878533650,1.5618749293665084,0.4411058685863420,0.2204353023283710,0.0996467766530498,0.1901040037249722,0.0198752177193198,0.0134017360672715,0.1243090583055636,0.0022570263019895,0.0417615139817146,0.0723095353439465,0.0421390419579619,0.0555214908565774,0.0145874152599166,0.0013989146665204,0.0692251668747109,0.0000007050152151,0.0000003196041859,0.0427844930961184,0.0639891635805126,0.0000002448250057,0.0000002236883062,0.0000001696315125,0.0000000958881113,0.0000000497194518,0.0760813898944278,0.0000000245144501,0.1176666281914046,0.0000000039334280,0.1833675306309142,0.1291923402741753,0.0857460116627896,0.0397008765280446,0.2054673035719235,0.1678828250225281,0.0000000000148069,0.0000000000048608,0.0000000000014295,0.0000000000006089,0.0480995904288529,0.1220029942995750,0.1495229383727731,0.0428877747647369,0.0000000000000294,0.0000000000000014,0.0413802534031193,0.0775683147539213,0.0000000000000004,0.0000000000000004,0.0729826646206155,0.0000000000000004,0.0000000000000004,0.0000000000000004,0.0000000000000004,0.1089234195763289,0.0330307672227950,0.0665142848506236,0.1409347564708769,0.1374811376221980,0.0411452507553129,0.0710373826109952,0.0430117379313814,0.1518899292350059,0.0000000000000004,0.1252193547447293,0.0000000000000004,0.0000000000000004,0.1478732360235667,0.0397889247605141,0.0821388009486516
3,5.1246310934696098,4.9674347223989264,4.1416796124667972,2.1307363057108866,0.7478153904331937,0.2871580278274506,0.4034916552416619,0.2184869189795866,0.1400914494429183,0.1547067522654906,0.1401160341619953,0.1069755356655992,0.0579066092720377,0.1856666135094880,0.0089594210286490,0.0898319189578071,0.2023594501469775,0.0015203537265332,0.0011609665221657,0.0391232166989610,0.0659414510532828,0.0003610218578366,0.1359100618170597,0.0341946914978712,0.0397425114089186,0.0749988248873376,0.1427922153267394,0.0000070671857557,0.0352436428371882,0.0754816928391204,0.0350353520364801,0.0816009923115295,0.0000003627063512,0.0368940291519952,0.1911113783742334,0.1754425137128887,0.0658579567054623,0.1027803596833180,0.0000000153304946,0.0362249132806898,0.0383494664591904,0.0725249891346639,0.0000000021143914,0.0588086684424363,0.0793964408898101,0.0578682063746361,0.0229067485331910,0.1312363185634119,0.0000000000160841,0.0529752047704386,0.0361268023467384,0.1138952376573689,0.0778677576596409,0.0000000000000279,0.1344966255935168,0.1758822303142807,0.0000000000000136,0.0436630297756923,0.0807766050186617,0.0390704212240035,0.0922748042458892,0.0427559861104872,0.0666940046151041,0.0000000000000009,0.0401245739076752,0.0387638088493437,0.1128074794010483,0.0000000000000006,0.0426881517607051,0.0732917412153068,0.0354738268777493,0.0000000000000004,0.0777578685078824,0.0000000000000005,0.0614968298143228
4,5.4064507133342339,4.7648919075251923,2.5303853058536308,0.5893473421164934,0.1917696404694801,0.1098906383720442,0.1950047968894391,0.0587772956090850,0.0853505680783230,0.0650549667402343,0.1280193500744889,0.0808469385520482,0.0042412561589375,0.1191236858762328,0.0846356680813925,0.0722546774088517,0.0001931049109694,0.0349477785950084,0.0000131462911921,0.0394784703719672,0.0694494555286947,0.0662370575085202,0.1233608937776151,0.1308199017536580,0.0183310252105807,0.0000000304706771,0.0345259238162165,0.0680593006823655,0.0398455284105877,0.0692530853335684,0.0000000013389485,0.0358953353550201,0.1015599684879575,0.0500900802512857,0.0244121783531810,0.1055681979118242,0.0908522614390156,0.1854584728588386,0.2126058437138015,0.1478885403509283,0.0000000000018822,0.0000000000008584,0.0529960032777401,0.0762094428620542,0.1316578615138512,0.0000000000000829,0.1839130260315980,0.0000000000000304,0.1368842328714380,0.2202392796258276,0.2056945815960330,0.1128761200221107,0.1102070934016669,0.0577380920493672,0.0696491637206594,0.0380251707265601,0.1140212281178857,0.0000000000000007,0.0766668158721892,0.0353329267302088,0.0000000000000007,0.0000000000000007,0.1448275009610023,0.0000000000000006,0.0669119058885824,0.0706552811142497,0.0117395093811620,0.0000000000000006,0.0697714674063786,0.0447343490974896,0.0000000000000004,0.0598430517796939,0.0749535090088938,0.0000000000000006,0.0000000000000006
5,5.5882380341621793,5.0984705711124017,4.6764034895035351,3.4727646663232878,2.2523184349150989,1.2795008101529219,0.4156029258166907,0.1106963791853814,0.0738691983280860,0.0387525506678183,0.0234943261772148,0.0097029787767229,0.0978866140361007,0.1093068417562626,0.0010575967718320,0.0659017596241933,0.0385383980738226,0.0457071955697450,0.0000395075886387,0.0049115769334450,0.0723140839955644,0.0711302985837700,0.1242022114318673,0.1346728838163297,0.0000009980601090,0.0133418354851830,0.0748733728721643,0.0412231533283677,0.0746394197185039,0.0432404646950815,0.0737805672749459,0.0347050776215186,0.0000000045854914,0.1120078511807886,0.1078760826959546,0.0589404291781026,0.0348533051150016,0.1782585887873190,0.0936521019974161,0.1274560592957951,0.0300360964221790,0.0709710207850515,0.0820645194971963,0.0000000000030410,0.0754483138111795,0.0000000000009057,0.1360277744184089,0.1140740372156525,0.0415869284040686,0.0000000000000318,0.1653241146218646,0.1186118248810524,0.0000000000000075,0.0651383341479405,0.1077566548076396,0.1899630158535984,0.0000000000000016,0.0700893397473368,0.1107623132311196,0.0747402520788629,0.0348720804082263,0.0000000000000008,0.1052016846565484,0.0145233415882557,0.0698998683524767,0.1433759345033573,0.0363662874987523,0.0651243566283483,0.0000000000000006,0.0354646418449927,0.0763325842963961,0.0033034638486338,0.0668239904151386,0.1324060813089199,0.0000000000000006
6,5.5726549982587725,4.8219508871280139,3.3705896240506465,1.4713515720826298,0.2216857467066255,0.3664838215452529,0.2156488999895085,0.1168252281575960,0.1391318011199897,0.0907512739910772,0.0495335076732152,0.0099232631337662,0.0526095268977706,0.0050138641772020,0.0184494841635698,0.0015468403830555,0.0679615460171369,0.0713328148769263,0.0001746772537106,0.1069180146313627,0.0000691213124241,0.0000438576792027,0.1159644229857835,0.0258993699036254,0.0000014234975296,0.1055226452779851,0.0000002980567803,0.0000001959256492,0.1506158146857783,0.0000000537922101,0.0616657866731068,0.0024600282266799,0.0000000044753073,0.1258846299006145,0.0023432784544746,0.0000000005605808,0.0356991370573652,0.0815539439485799,0.0150232916122142,0.0000000000094580,0.0000699832218203,0.2025692898356925,0.1523848293137737,0.0400649984033644,0.0431341343055629,0.0000000000001847,0.0274485818305256,0.2207335493854624,0.1688773304979191,0.0347098761283134,0.0000000000000128,0.0000000000000017,0.0671070066983648,0.0000000000000004,0.0676613573541150,0.1398325402625014,0.0329366204290621,0.0000000000000004,0.0000000000000004,0.1135594943942243,0.1319991116630578,0.0000000000000004,0.0605199251149448,0.0659729203665596,0.0000000000000006,0.1340575029012215,0.0351855343389467,0.0000000000000004,0.0644978145828624,0.0421294162101101,0.0000000000000004,0.0855668592562188,0.0334129626970742,0.0000000000000004,0.0790492600447209
7,5.2201056646697319,4.8960184022823050,2.9563591648958578,1.0946897451538828,0.3142804054387878,0.2572188921706485,0.1443403220865293,0.1018549385597190,0.2274852264897949,0.0727338324812919,0.0517717508261880,0.1142512172702184,0.0545173119093803,0.0020280202032225,0.0689699146418231,0.0001622948354539,0.0000787315467250,0.1066029766165781,0.0000246257941062,0.0351043538617035,0.0883653162729227,0.0924520732922709,0.0000018270334085,0.0000012265434212,0.0662652423628264,0.0000006662830557,0.0000002583407017,0.0917688748160456,0.3046791779555267,0.0415861216275032,0.0689897031564004,0.0361368095977690,0.0395170437458758,0.0428159537676663,0.0613275130181354,0.2444978095673310,0.0015681742515539,0.0560772631099575,0.0000000000756735,0.0432736384999625,0.1939646056374016,0.1379242050387888,0.0376208739538834,0.0391554531265702,0.0396135477268130,0.0000000000001932,0.0852757999900767,0.0752358523504117,0.0000000000000191,0.0474321689696504,0.1155475555265204,0.1431758954440913,0.0000000000000046,0.0371864391960635,0.0942571514326194,0.0082852392239635,0.0391713345799714,0.0134032624374227,0.0000000000000009,0.0393799240150699,0.0000000000000009,0.0784644731023975,0.0000000000000007,0.0000000000000007,0.1128330354678718,0.0653171161164879,0.1131460130267028,0.0094490262901018,0.1318624781885906,0.0000000000000005,0.0337337912556549,0.0000000000000006,0.1501227854858766,0.0389784224226171,0.0717442827834165
8,5.0011806869177127,4.5452178353321138,2.6726220993062433,0.6006442575742801,0.0970287634592102,0.1419195435345504,0.1725056147890830,0.0829621589109834,0.2166830849008443,0.1365932142583710,0.1530746715864381,0.1521292224448061,0.0789144271797892,0.1575361502329783,0.1106650151053728,0.1457474491405148,0.0724451419327080,0.1399264060665235,0.1466435364726184,0.1240272118381889,0.1197755848421886,0.1807473556015193,0.0705361155809176,0.0700784519855764,0.0697526004836714,0.1050985796304346,0.1301811439061141,0.0690445425631376,0.1100326249478117,0.1094143582599132,0.0684372615410700,0.0948232374257599,0.0673844841063834,0.0683278405525811,0.0666739169492733,0.2509263954165031,0.1016205372068167,0.1637807069272478,0.0527459917016146,0.0937495658691060,0.0360861415161631,0.1807677628975747,0.0512056966357027,0.0060450232931130,0.0741038646403915,0.1094689294819269,0.0565971622039431,0.0711266274602373,0.1900324421758502,0.0663573777640773,0.0652314113450549,0.0356342150820211,0.0750656178662458,0.0595099175258774,0.1088527278373093,0.1580652934261227,0.1426258075937189,0.0000010420210225,0.0000006277078885,0.1190655837361716,0.0538647231582277,0.1298598927211224,0.1899713434120318,0.0745778965597807,0.1052514860564165,0.1065500566906866,0.0000000086033216,0.0423992354503873,0.0005360961254156,0.1145022992714291,0.0682347781917173,0.0743076791907462,0.0000000002111807,0.0000000000722413,0.0620025409563051
9,5.3496689852614576,4.5724597631334190,3.7847088283743573,2.5216046101745024,1.5212333725942897,0.3492729295959173,0.1766937307259666,0.1289738104273948,0.1016656579988608,0.0222699232743963,0.0120684810578793,0.0731122282769054,0.0733301899994487,0.0396691279962994,0.0158332931463313,0.1092117127198703,0.0003575168825995,0.0347423486892581,0.0000670067537504,0.0000471512846801,0.1828173305995288,0.1142571018797489,0.0357640659442074,0.0000034496577038,0.1458417774980471,0.0714099981882178,0.0000003577494026,0.0386202733857552,0.0433153748706955,0.0654092144986719,0.1327460614310735,0.0407928457015256,0.1452552084373040,0.1769938479948098,0.1884138019148567,0.0355382932392883,0.0000000017664373,0.0694132039297686,0.0000000010190808,0.0688594224679439,0.0726297197050684,0.0669575844742486,0.0000000002337800,0.0754824863713864,0.0229558249109678,0.0372909665424445,0.0344333517279624,0.0431384723664440,0.0000000000058146,0.0000000000017813,0.1117374373951070,0.0755194102708148,0.0503582712115462,0.1838278120884560,0.1386189998677232,0.0316019666276375,0.0000000000000211,0.0339607134168835,0.0376450693818371,0.1482587981923668,0.0000000000000027,0.0000000000000011,0.0813155524137439,0.1020619308581410,0.0000000000000005,0.1369512051509487,0.0739323987284575,0.0000000000000006,0.0858525579150977,0.0837929665070512,0.0000000000000005,0.1079947656241323,0.1999064471349571,0.0000000000000005,0.0000000000000004
10,5.3891109958278340,5.1968453961125762,4.2239279909220890,2.8043751542473321,1.7520548875912973,1.1199160427260919,0.8531509571747827,0.6841301285165852,0.1796488496058283,0.0980805246250882,0.0271570167212617,0.0124644515734625,0.0156450613830915,0.0774776994733794,0.0104984097459727,0.0006479699557058,0.0256893676990082,0.1034785426650464,0.0682234823943804,0.0727672468352253,0.0583496568350477,0.0000224320381918,0.0433728392818318,0.1970928717829856,0.0000073459510565,0.0344185102010301,0.0067361757966335,0.0000004693401821,0.0921755859985186,0.0391245404405594,0.0774681712295017,0.0165935616771272,0.1096248735924451,0.0280111113690646,0.0406158436759758,0.1342276000039666,0.0344164183780764,0.1524330863122407,0.0000000014072456,0.0000000005588815,0.0449416087719576,0.0415164619684129,0.0349518139267740,0.1295222821500589,0.0000000000264849,0.0377754984961613,0.0399185251827744,0.0000000000046715,0.0000000000028960,0.0752254514400856,0.0431783447209796,0.0000000000004635,0.0000000000002356,0.0000000000000784,0.0000000000000448,0.1174810145641553,0.0754960346994629,0.0316135664769499,0.0000000000000048,0.0000000000000016,0.0615095364165556,0.0565163358384776,0.0354577691737844,0.0377011701233940,0.0417032979228429,0.0156557211247946,0.0000000000000004,0.0000000000000006,0.0000000000000005,0.0000000000000004,0.0950808423094202,0.0393487859981744,0.0641302249589832,0.0711496828300286,0.0000000000000005
