Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150,Individuo 151,Individuo 152,Individuo 153,Individuo 154,Individuo 155,Individuo 156,Individuo 157,Individuo 158,Individuo 159,Individuo 160,Individuo 161,Individuo 162,Individuo 163,Individuo 164,Individuo 165,Individuo 166,Individuo 167,Individuo 168,Individuo 169,Individuo 170,Individuo 171,Individuo 172,Individuo 173,Individuo 174,Individuo 175,Individuo 176,Individuo 177,Individuo 178,Individuo 179,Individuo 180,Individuo 181,Individuo 182,Individuo 183,Individuo 184,Individuo 185,Individuo 186,Individuo 187,Individuo 188,Individuo 189,Individuo 190,Individuo 191,Individuo 192,Individuo 193,Individuo 194,Individuo 195,Individuo 196,Individuo 197,Individuo 198,Individuo 199,Individuo 200
1,34992,35070,35571,35851,36613,36925,37056,37085,37325,37490,37575,37778,37956,38475,38593,38615,38914,39048,39060,39197,39206,39290,39375,40253,40476,40557,40716,40842,41067,41323,41415,41553,41828,41921,42157,42159,42163,42192,42255,42283,42336,42431,42480,42606,42907,43121,43332,43394,43450,43653,43663,43720,43803,43827,43919,43976,44032,44114,44138,44167,44241,44313,44350,44409,44429,44529,44535,44552,44565,44756,44775,44814,44872,44916,45021,45029,45100,45229,45379,45464,45465,45465,45475,45476,45521,45718,45735,45840,45963,45973,45999,46023,46147,46166,46166,46220,46272,46457,46474,46483,46549,46610,46612,46675,46682,46683,46745,46780,46852,46903,46906,46974,46974,46986,47004,47007,47030,47037,47040,47040,47122,47133,47134,47178,47245,47282,47308,47311,47312,47438,47492,47497,47513,47542,47548,47563,47570,47606,47610,47618,47654,47681,47695,47700,47741,47806,47812,47817,47884,47929,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,170901,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
2,32410,35851,37085,37189,37325,37741,37855,37956,38004,38146,38288,38492,38593,38644,38809,38874,38914,38984,38986,39060,39206,39290,39375,39471,39611,39695,39776,39881,39964,40029,40154,40201,40232,40253,40255,40329,40476,40483,40529,40557,40610,40672,40715,40716,40734,40890,40979,41007,41008,41067,41103,41224,41239,41274,41279,41323,41323,41323,41374,41398,41415,41443,41528,41683,41766,41855,41875,41902,41921,41921,41921,41924,41991,41999,42007,42009,42012,42031,42059,42088,42109,42132,42135,42142,42157,42157,42192,42192,42192,42224,42256,42279,42283,42283,42283,42292,42298,42308,42330,42336,42369,42394,42431,42431,42450,42467,42496,42506,42510,42567,42606,42606,42680,42684,42690,42761,42767,42790,42837,42890,42896,42907,42907,42956,42957,42987,42991,43056,43068,43080,43081,43110,43116,43121,43188,43190,43256,43265,43314,43332,43332,43332,43332,43375,43394,43396,43404,43417,43442,43472,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,174532,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
3,32243,33051,34552,35879,36018,36653,37085,37325,37325,37484,37542,37956,38009,38288,38288,38298,38593,38644,38809,38873,38873,38883,38914,38984,38984,38984,38986,39019,39019,39050,39206,39439,39583,39617,39695,39695,39708,39776,39776,39802,39842,39964,39964,39999,40082,40089,40110,40154,40195,40232,40238,40253,40255,40329,40493,40529,40529,40557,40560,40566,40610,40670,40672,40676,40715,40715,40734,40734,40972,40979,41007,41007,41029,41037,41045,41059,41067,41067,41218,41224,41227,41239,41279,41279,41323,41334,41368,41404,41415,41481,41490,41525,41644,41650,41678,41700,41706,41710,41743,41766,41766,41766,41778,41833,41833,41843,41855,41855,41875,41875,41892,41912,41921,41921,41924,41946,41956,41972,41990,41991,41991,41991,41996,41999,42003,42009,42012,42012,42040,42040,42088,42105,42132,42132,42136,42142,42142,42157,42157,42186,42192,42196,42212,42222,42224,42256,42279,42283,42292,42292,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,164513,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
4,30293,31516,32066,33717,36598,36653,36942,37085,37133,37325,37325,37834,38056,38281,38288,38301,38432,38566,38809,38873,38899,38984,39206,39304,39439,39469,39503,39574,39617,39617,39682,39695,39695,39695,39708,39744,39776,39776,39802,39802,39842,39895,39964,39964,39999,40082,40082,40089,40089,40154,40154,40175,40232,40253,40493,40529,40537,40557,40558,40560,40560,40570,40652,40675,40676,40699,40705,40715,40715,40734,40734,40734,40750,40812,40921,40972,40972,41007,41007,41045,41066,41067,41088,41137,41218,41239,41240,41279,41368,41371,41372,41399,41404,41415,41515,41536,41539,41574,41578,41580,41622,41622,41644,41650,41657,41678,41678,41678,41697,41716,41766,41766,41910,41919,41945,41959,41980,41998,42012,42015,42029,42074,42096,42110,42116,42121,42146,42194,42274,42289,42334,42343,42363,42377,42413,42441,42459,42465,42556,42591,42630,42692,42731,42744,42758,42767,42770,42786,42817,42831,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,167954,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
5,31090,32330,34470,36037,36512,36704,36833,37632,37790,37959,38226,38432,38791,38848,38865,38984,38984,39114,39187,39397,39431,39444,39574,39617,39638,39645,39682,39682,39682,39682,39695,39695,39708,39744,39776,39776,39776,39787,39802,39842,39842,39964,39964,39964,39964,40082,40082,40082,40136,40154,40175,40177,40254,40374,40469,40529,40529,40558,40558,40559,40570,40580,40581,40678,40699,40706,40715,40715,40733,40734,40734,40734,40750,40752,40803,40812,40814,40814,40843,40913,40921,40942,40952,40972,41003,41007,41023,41062,41071,41088,41088,41088,41102,41114,41137,41137,41245,41279,41371,41372,41398,41404,41418,41454,41513,41515,41524,41536,41538,41539,41574,41587,41639,41642,41662,41674,41698,41712,41765,41778,41804,41804,41865,41872,41931,41931,41933,41959,41959,41976,41983,42028,42036,42037,42060,42065,42087,42104,42104,42134,42140,42151,42160,42172,42226,42243,42247,42309,42400,42414,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,165861,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
6,30961,34344,34470,34984,35126,35445,35761,36430,36833,37314,37343,37368,37632,37804,38058,38127,38414,38431,38488,38504,38791,38865,38865,38984,39114,39185,39187,39278,39397,39429,39431,39614,39615,39638,39644,39645,39645,39682,39692,39708,39723,39776,39776,39776,39787,39803,39883,39964,39964,39964,40070,40082,40082,40082,40082,40082,40126,40146,40154,40254,40254,40254,40254,40360,40437,40469,40516,40529,40536,40558,40559,40570,40581,40581,40581,40584,40612,40613,40627,40647,40706,40715,40715,40731,40733,40809,40843,40861,40891,40896,40925,40970,40981,41003,41003,41003,41062,41071,41102,41172,41179,41186,41261,41279,41279,41293,41295,41354,41371,41382,41410,41419,41490,41597,41604,41609,41612,41629,41648,41657,41697,41797,41807,41824,41845,41869,41881,41896,41905,41905,41995,41996,42042,42044,42106,42129,42196,42234,42242,42246,42264,42277,42278,42282,42289,42300,42325,42347,42368,42378,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,158003,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
7,33045,34449,36080,36474,36573,36647,36980,36981,37096,37291,37343,37945,38327,38340,38414,38414,38488,38505,38747,38865,38865,38928,38986,39114,39278,39429,39431,39436,39588,39615,39615,39682,39687,39708,39776,39788,39883,39889,39964,40070,40081,40082,40094,40162,40188,40190,40222,40254,40254,40318,40392,40394,40437,40437,40489,40511,40518,40536,40536,40559,40565,40570,40581,40584,40584,40612,40617,40715,40715,40715,40727,40731,40733,40758,40761,40775,40809,40843,40867,40889,40925,40925,40970,40981,40985,40999,41003,41003,41007,41010,41071,41092,41099,41139,41147,41155,41172,41173,41179,41328,41386,41392,41426,41460,41486,41549,41556,41557,41634,41662,41743,41776,41795,41817,41818,41830,41835,41850,41870,41914,41918,41942,41957,41987,42050,42076,42097,42137,42139,42150,42196,42247,42273,42285,42285,42292,42336,42376,42414,42423,42424,42447,42447,42449,42479,42494,42529,42558,42593,42609,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,167559,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
8,31389,32244,32421,33910,35607,36059,36474,36573,36647,36769,37007,37168,37291,37335,37343,37451,37691,37872,37916,38197,38414,38414,38414,38414,38414,38548,38701,38737,38747,38983,39114,39114,39114,39114,39222,39252,39283,39556,39588,39671,39694,39705,39708,39729,39771,39788,39792,39932,39964,40000,40004,40082,40094,40162,40167,40198,40204,40205,40206,40282,40318,40319,40388,40392,40394,40437,40437,40489,40489,40518,40536,40536,40544,40570,40581,40584,40584,40613,40628,40654,40688,40691,40708,40715,40715,40715,40715,40727,40731,40746,40761,40765,40809,40817,40832,40843,40889,40889,40925,40961,40963,40972,40985,40999,41007,41010,41043,41071,41090,41131,41160,41172,41284,41328,41369,41386,41398,41464,41494,41503,41511,41543,41590,41677,41702,41705,41708,41736,41772,41809,41812,41867,41872,41882,41952,41998,42040,42064,42084,42154,42155,42176,42209,42218,42221,42276,42338,42352,42371,42522,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,170968,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
9,32421,33574,34337,35609,36413,36699,36955,37116,37191,37401,37536,37642,37837,37872,37872,38013,38486,38548,38640,38682,38747,38777,38785,38858,38982,38983,39248,39283,39432,39492,39543,39729,39788,39816,39964,40000,40000,40082,40082,40103,40104,40139,40162,40204,40205,40249,40267,40307,40308,40318,40319,40340,40392,40437,40489,40489,40489,40490,40536,40536,40569,40570,40581,40584,40654,40654,40681,40708,40715,40716,40726,40731,40731,40739,40765,40817,40829,40830,40838,40838,40843,40889,40889,40917,40925,40934,40952,40979,41004,41017,41075,41112,41141,41165,41187,41265,41289,41314,41327,41330,41353,41421,41437,41462,41478,41490,41545,41568,41645,41649,41656,41692,41720,41741,41772,41787,41794,41807,41893,41906,41928,41943,41953,42008,42011,42043,42062,42086,42102,42123,42126,42194,42199,42237,42240,42305,42345,42375,42390,42406,42409,42428,42437,42460,42483,42510,42510,42549,42563,42590,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,173571,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
10,28844,30417,31652,32497,34337,36264,36413,36955,37102,37116,37191,37191,37191,37340,37399,37401,37560,37580,37600,37872,37876,38037,38109,38117,38257,38610,38613,38747,38785,38982,39076,39151,39218,39283,39283,39329,39388,39403,39492,39500,39575,39602,39717,39729,39730,39788,39816,39816,39834,39903,39961,39965,40000,40000,40000,40089,40095,40103,40103,40104,40136,40139,40162,40190,40201,40205,40205,40228,40299,40311,40319,40354,40392,40413,40437,40454,40489,40489,40489,40489,40490,40490,40536,40570,40581,40581,40618,40626,40672,40681,40681,40701,40715,40716,40739,40750,40817,40817,40830,40838,40838,40843,40855,40870,40889,40935,40962,41004,41165,41272,41289,41289,41327,41330,41340,41343,41361,41409,41410,41467,41471,41489,41517,41519,41524,41554,41707,41714,41783,41849,41869,41875,41915,41933,41944,41950,41973,41979,41997,42012,42058,42061,42071,42074,42114,42114,42132,42133,42168,42190,27809,27535,26073,27253,26160,28677,27703,26644,27604,28013,26127,28384,24993,168595,28299,26836,28384,26644,29071,26451,25449,26953,26002,26648,28918,26358,27936,27591,26073,27703,27801,27561,27535,26387,28384,27936,27967,27741,27591,27955,27561,27804,26182,26972,27710,26073,26327,28785,25703,26358
