Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150,Individuo 151,Individuo 152,Individuo 153,Individuo 154,Individuo 155,Individuo 156,Individuo 157,Individuo 158,Individuo 159,Individuo 160,Individuo 161,Individuo 162,Individuo 163,Individuo 164,Individuo 165,Individuo 166,Individuo 167,Individuo 168,Individuo 169,Individuo 170,Individuo 171,Individuo 172,Individuo 173,Individuo 174,Individuo 175,Individuo 176,Individuo 177,Individuo 178,Individuo 179,Individuo 180,Individuo 181,Individuo 182,Individuo 183,Individuo 184,Individuo 185,Individuo 186,Individuo 187,Individuo 188,Individuo 189,Individuo 190,Individuo 191,Individuo 192,Individuo 193,Individuo 194,Individuo 195,Individuo 196,Individuo 197,Individuo 198,Individuo 199,Individuo 200
0,93624,94484,81655,97561,84946,90017,90316,85113,96377,103071,97991,96396,90866,85818,96304,93908,96414,91601,89883,108892,82575,95196,93419,94514,98417,89421,93213,89087,102970,87431,86975,101127,83840,84699,91416,97619,90560,84093,102625,97383,103829,90826,89597,89514,88684,93858,102022,96502,98534,95686,89303,96925,82094,94597,86977,75921,95244,93545,102405,90718,75819,85343,98471,81323,91272,90897,81405,90636,98493,98896,91304,93681,92652,87721,87631,85358,92236,82064,88437,83567,89668,82814,85976,108992,93523,82344,86309,83532,94347,90750,96725,90350,81197,86064,88081,87051,105592,86585,92589,91170,92447,93000,92881,88033,104165,85442,86453,100155,90480,91924,79283,102373,102707,89699,109083,82387,93260,103276,104409,91092,105860,91089,87804,99150,89406,76505,86063,78865,99397,97840,104082,100262,90422,84994,103451,86283,88704,87459,87347,90342,98248,88821,79801,85112,87137,88256,85018,89901,88308,93083,90154,84554,100498,99251,83153,98367,99536,81170,98792,88988,95212,80777,99957,94341,82629,107013,85596,85777,103132,88274,94253,90137,88064,87643,95795,93473,91661,87588,87406,91281,89507,82779,93118,90214,89712,86863,82838,85981,97068,93516,88001,78876,85107,82101,86541,92063,87057,88842,88357,91263
1,37270,42981,40611,43097,38009,40405,39757,38760,46692,37006,34680,42405,37346,34516,37389,33032,43316,40718,42151,39299,35603,41695,46614,40988,44262,39951,43727,38360,38920,41670,37249,40301,44523,41469,42525,35473,35960,37794,43633,40690,41275,40138,38238,38645,38406,32811,37669,42642,44180,42466,41536,38571,42227,43141,43332,38388,40653,39173,33680,43170,46893,34763,42856,39771,35399,37491,39710,42281,41604,40380,42898,40107,34754,37059,43019,45102,37585,38400,36995,38008,41262,41030,42388,34578,43905,42165,32696,40998,38337,38973,40794,43677,39251,41128,40562,36215,39798,37714,38415,39638,44257,38113,37888,39648,36472,44071,38969,42425,40100,41221,39477,37725,37940,38892,49503,37197,36295,40563,35300,32503,36666,38990,43489,44911,38393,40222,40682,40185,43075,44047,46075,38011,42519,45652,45657,37757,36919,34587,39922,39848,38719,40607,44514,37356,38669,44166,39499,37925,45916,44595,34891,43517,38320,35545,38272,37286,39853,36995,34980,44066,41993,42494,34274,41395,41060,47895,41427,35753,41223,37547,39483,38702,37154,44100,40423,38016,42416,42781,43968,38727,36087,39282,39634,41428,39400,36231,43061,45798,44164,45930,40817,38568,43390,42769,42206,36924,40149,39558,39630,38560
2,31521,27779,29602,28056,29535,31298,29684,32050,34699,29028,32445,30232,29286,30931,29029,31542,34105,34745,29822,32132,27128,33934,28282,31692,34476,28255,30921,32283,33059,33356,29875,31104,33211,32486,29760,28244,30298,30308,30706,31931,26332,32063,27729,29846,33386,29045,36143,32660,30955,28471,29315,32978,29563,31799,33726,34753,27693,25526,28494,33077,30498,29043,29803,27810,29730,28920,31415,32737,33119,30873,31632,30415,31115,26923,27647,31175,31002,28627,29393,32090,29307,29389,31668,30675,31044,33315,32567,33649,28900,30741,29495,31613,30723,30316,30765,26598,30364,31087,28207,30160,29922,29805,30700,28508,28357,29654,28740,33382,31777,26991,32336,32045,30811,27765,28884,27357,32399,32147,30934,31555,28395,28979,32370,28943,29715,29385,32827,28921,27511,27766,35512,30809,34268,29036,33880,33982,25205,32058,27334,36589,28578,31390,28771,27236,28260,32069,27557,34792,32055,31561,30707,28411,33670,30056,30863,30623,29800,31516,30534,32939,30343,30451,30517,29010,33468,29855,28719,31981,30285,29319,33644,28456,28357,29470,30913,31722,31926,28014,34224,30415,34164,28303,25233,30545,30743,28253,29676,27204,32910,26614,29184,29433,30981,29497,27290,31344,27405,33197,31718,30311
3,27144,28700,27920,27046,29182,25553,27788,27778,27533,30169,27912,28823,30326,26321,26211,25466,27216,35724,27218,26994,25868,33755,31313,28767,29113,30581,31824,28263,28623,29264,26363,29992,31843,25624,27697,32063,28311,29041,29194,30552,30392,27905,24290,27710,29015,28765,26275,30607,26186,26725,24826,27917,34480,28801,28119,33393,26996,27454,25969,27795,31669,26013,28493,30984,29841,34767,31626,29160,29853,29269,27404,28719,28059,28622,30441,24954,29177,26944,33772,26894,26871,23950,30676,30527,27571,27926,29345,28829,26189,29360,29569,27637,35716,28905,31092,26050,32433,26940,27865,30937,25986,28701,28865,30042,28005,25659,29182,28531,26165,30708,30878,30601,28945,26913,28933,30338,30169,29547,29036,27811,25051,26350,31747,27569,26160,28460,28760,29861,29411,28458,27968,28093,32261,29195,36220,29706,26895,27065,26452,27790,29420,30281,25324,27952,29893,27483,26940,28887,27722,30426,31380,29299,28652,29925,26704,26476,30208,26662,28410,25103,24393,25828,30923,28045,27143,32455,28272,25515,29780,30403,24606,31765,29413,27625,26961,24034,27592,25013,28802,29119,27063,27785,31634,29223,29269,26925,26893,28462,28517,28948,27818,28619,27224,25830,29531,27674,27534,30115,29301,31434
4,27254,30735,29155,26559,27804,26711,30654,26764,27227,25089,30959,27434,27878,27552,24965,28579,26206,25498,25277,28217,27248,30928,27797,30015,27218,29347,28042,28056,27226,26786,28401,24820,25421,27723,31552,28173,25573,27500,28364,28708,26994,26263,28078,32471,26360,29352,26320,27751,31685,25948,25655,26580,27464,26982,25188,25848,29709,28473,30830,27245,25069,26379,26913,27170,27794,27176,29179,26104,29329,25449,26675,27476,27094,29116,26115,27972,24540,26124,24837,24941,29814,24612,29677,28039,28136,28206,27259,28266,24342,29029,26085,31146,26480,28113,29156,29411,26125,27259,28323,28875,28452,32987,30615,25715,32871,29669,27070,25439,32595,25355,26341,31333,27870,29682,27571,26701,29344,28320,25551,27699,28276,34947,25037,31631,25537,28694,27597,30051,30821,25911,29712,30768,23895,28625,27505,30046,28292,28808,29438,24477,26007,30150,26980,27809,27266,26547,28273,25745,26550,26241,31041,29101,27328,26569,29370,26891,33495,26297,29685,28121,27237,26903,25046,27079,23181,27510,27098,25659,27521,26307,26070,28552,29589,25724,24754,23698,29679,25819,26091,29275,30245,26283,29909,28296,27646,24066,28812,30138,25774,29399,25470,24109,28944,27997,25590,23221,30820,24383,27571,26212
5,26386,27734,29924,26516,28301,28256,25507,25543,30665,28697,26597,28448,24631,29986,26094,27345,31705,27320,30187,26032,27116,29381,25081,28165,30536,27797,25918,28640,28281,26260,25501,29608,35094,28482,25238,27418,29015,24039,30415,25438,28714,26628,28401,26916,26767,22252,26894,23949,28444,25324,28023,23639,25632,28523,31034,27732,27802,26570,27483,29888,25999,29381,27985,29384,31427,25187,23817,29028,25298,27197,23343,31309,25283,26891,28617,30605,29261,27634,26806,26166,24336,27365,25314,29792,30070,29177,26698,25153,28487,27247,24592,29004,25388,31576,26001,25599,28688,25617,30894,27362,27484,26909,25595,27244,26097,26019,27812,28389,27026,27666,26146,24876,29136,24571,27146,27467,30022,26817,27096,30317,26516,25264,27534,27162,27440,27354,26155,28550,26167,25944,27073,27535,24819,27166,28447,26601,26863,25732,28599,29762,29316,27486,27176,33750,27440,31917,26005,26464,27459,30026,28115,25501,23865,24227,27926,27818,27819,25745,26261,27489,24217,24979,28213,28978,28910,25486,29989,26312,29287,30776,26140,28191,24644,26689,28207,30833,26509,29728,27481,27819,28043,27923,26923,27850,27229,27780,29434,27608,26682,27752,27855,25374,25621,26386,27339,29901,25615,27127,28675,29393
6,26097,26278,25171,26264,26551,27717,27805,30039,26679,22254,25754,27117,27285,27017,27516,28272,27658,25045,25405,25453,24915,30801,24815,26273,25959,26506,29294,25232,24875,25907,27664,30942,27046,26663,27834,27728,25607,27744,31637,25052,28803,31123,26899,26606,26965,24505,28525,32325,28488,27369,26061,27689,25488,25834,26694,29240,24188,25523,24729,30357,25620,25330,26713,25516,26460,32210,23616,22729,24204,26667,30494,28999,31706,22399,29515,23849,25037,28882,26299,27841,25141,30616,24107,24485,28457,28887,27765,29056,22812,27366,24205,24195,28358,28566,23572,26181,27864,26692,27397,25597,26912,24916,27089,24932,25756,26451,26823,25413,28361,26169,25534,29915,27753,32836,24864,23622,25298,26141,25522,27715,25110,23513,28034,28481,26262,29638,26655,25069,26746,25906,29088,28061,27301,27299,25334,26233,27066,28727,25771,27299,25309,28743,29550,27912,25599,31190,28928,25045,26584,28127,27623,26774,23864,28908,26875,26453,31158,26605,27072,25762,25115,27276,25496,27148,29350,26113,30868,25894,25526,27543,25191,27261,26602,28120,28744,27482,26676,29840,32375,28741,27230,27605,24428,23053,25772,26416,27373,25610,27734,26318,27893,25317,24155,27819,25026,31634,23908,25442,28590,27274
7,31289,29964,26440,31031,25981,25540,23593,28277,25251,25731,27526,25671,25428,26089,30589,24541,30218,25955,26874,26421,26391,24525,25097,25752,28607,24545,28013,28452,28035,24231,26066,28359,25306,26301,24532,27332,25743,25978,26535,26586,26551,26472,25827,26792,30150,23176,25776,23894,29871,31332,27728,29787,31794,28896,27655,25387,25603,29749,26099,24721,26419,24059,25522,26258,27305,24975,30206,30044,26903,25311,27243,25867,28808,23707,25800,22950,27146,29541,25741,26215,27909,23584,23541,25552,24247,24006,28860,30628,27956,28620,28521,25133,28121,26061,29348,26524,30600,26484,26482,28805,24945,25198,25652,25428,32146,24839,24804,26932,23479,26317,27639,30038,31094,27903,26355,26032,30142,25599,27417,29598,27200,27204,24511,25072,28236,27265,24524,27795,24271,31465,29012,25592,25278,28488,28099,29192,24814,24949,25861,29844,26889,29627,24189,26906,26098,29811,27393,29248,25788,27119,25934,27212,23835,23947,29296,27258,26159,26899,29587,24990,28642,24768,24285,28606,26432,27831,23640,30416,26911,24786,28143,31079,26925,29477,26251,28130,24489,24290,24462,27661,30359,26112,26637,24905,30387,27097,27713,23615,27298,27622,28788,25007,25631,28656,27785,24905,26628,28765,28172,26623
8,27847,26366,27236,27003,27140,25144,27301,24998,25652,22594,28457,23418,27889,26910,27493,31434,34354,28317,28801,28747,25188,24442,25506,24056,25950,27381,24233,26120,23647,24913,27837,28280,25578,27179,30283,30482,25374,25850,27052,28957,27076,24374,25005,26443,28390,26522,26884,29117,25777,25016,25045,27707,27034,28161,23698,30034,26392,24936,25147,27261,26886,26935,23862,28273,28221,25962,24932,30248,27371,26302,26083,28700,29336,25245,26422,26414,28826,27467,26869,24865,29036,23274,25933,26439,31203,24989,28025,24465,22897,27784,28275,29688,25532,26474,30110,25743,24247,28180,23600,27335,27281,23422,32826,29385,26142,26855,24944,26898,27394,26773,27335,26647,26576,25407,25717,31072,30319,24334,25420,28313,27653,24990,31139,30939,26335,26062,26573,29047,29713,27560,28061,30571,28041,24920,24336,22862,36074,26565,25767,26253,28586,26874,28109,24659,29020,27137,26218,25637,25525,27217,27578,29567,26510,27624,27571,22437,23952,25556,25250,25405,26636,25893,26650,31609,26199,27207,28535,27172,26873,28659,29480,30283,26962,24026,27749,26767,29522,25744,29147,28406,27088,23308,25283,27547,25846,27496,27136,27662,27508,27430,25354,28965,24997,23545,26911,27192,27014,28093,27877,26548
9,27541,22161,25271,29978,25478,25357,23946,26572,27928,27123,27380,23664,25090,28772,25929,28368,25887,23034,29261,22946,25427,27209,27409,29179,25173,23260,26810,26141,24173,24730,24136,25482,24224,27667,30011,26379,25155,22977,30916,28006,27575,26590,26732,24476,25733,23066,27656,26109,25695,25174,22926,28107,26977,25104,29932,23642,27654,26005,25219,30148,24343,26006,25937,24276,28304,24788,26752,25409,28621,28244,25675,26628,27295,26850,23584,21651,31979,23628,25751,25416,24542,25122,24628,26455,32657,27663,31024,25224,25833,25416,24669,27643,27191,25088,24586,32230,21460,26223,23729,25488,26202,29331,25708,28691,23239,24778,28257,26577,26727,28394,26889,27409,33509,31960,26112,24835,24634,23905,26094,26300,26509,28345,22179,24979,23507,24522,30338,29305,22909,26701,24258,24590,24207,26645,28608,25739,24744,30889,27281,24603,26666,27540,24681,28744,25058,26414,30981,24525,29356,26557,25033,28095,27029,27788,25646,24699,29546,26623,26877,24866,24911,22292,25321,29884,27148,30880,29724,27554,27426,29563,28633,26406,26258,25559,24224,27878,26763,23811,25541,26015,26826,25196,29028,24873,27471,25516,23564,24738,22763,24540,27779,22484,28309,29394,25918,26290,25796,26462,25888,26201
