Probabilidade de Cruzamento,Elites,Probabilidade de Mutacao,Geracoes,Tamanho da Populacao,Individuo de Melhor Aptidao,Aptidao Media
1.00,0,0.01,25,25,13067234.00,9962404.12
0.80,0,0.01,25,25,12056625.00,11936222.20
0.60,0,0.01,25,25,12681813.00,9356726.76
1.00,0,0.05,25,25,12797952.00,10037893.88
0.80,0,0.05,25,25,13024291.00,7287840.80
0.60,0,0.05,25,25,13003472.00,9313702.96
1.00,0,0.10,25,25,13059269.00,8433607.24
0.80,0,0.10,25,25,12964253.00,9432186.08
0.60,0,0.10,25,25,13131132.00,12435842.00
1.00,2,0.01,25,25,13048621.00,11974112.32
0.80,2,0.01,25,25,12806866.00,11128883.48
0.60,2,0.01,25,25,13000995.00,10130117.24
1.00,2,0.05,25,25,13188020.00,11778914.40
0.80,2,0.05,25,25,13175818.00,10226529.56
0.60,2,0.05,25,25,13058907.00,10154502.24
1.00,2,0.10,25,25,13120445.00,11385757.96
0.80,2,0.10,25,25,13278243.00,10764866.84
0.60,2,0.10,25,25,13078719.00,10594672.72
1.00,2,0.01,25,25,13161610.00,13161610.00
0.80,2,0.01,25,25,13062374.00,12539879.04
0.60,2,0.01,25,25,13057269.00,11805978.76
1.00,2,0.05,25,25,12993100.00,11433928.00
0.80,2,0.05,25,25,13109701.00,11956836.16
0.60,2,0.05,25,25,13193768.00,11268004.56
1.00,2,0.10,25,25,12905476.00,12711991.16
0.80,2,0.10,25,25,12970565.00,11090423.68
0.60,2,0.10,25,25,13193718.00,12024191.00
1.00,6,0.01,25,25,13315397.00,13315397.00
0.80,6,0.01,25,25,13109845.00,12061057.40
0.60,6,0.01,25,25,13208925.00,13201507.68
1.00,6,0.05,25,25,13179217.00,12499326.24
0.80,6,0.05,25,25,13116395.00,11375181.68
0.60,6,0.05,25,25,12957697.00,8592411.04
1.00,6,0.10,25,25,13443084.00,12609044.64
0.80,6,0.10,25,25,13210058.00,12013862.84
0.60,6,0.10,25,25,13127120.00,12910803.28
1.00,10,0.01,25,25,13198527.00,12670585.92
0.80,10,0.01,25,25,13399645.00,12781405.20
0.60,10,0.01,25,25,12940963.00,12423324.48
1.00,10,0.05,25,25,12992186.00,11858679.24
0.80,10,0.05,25,25,13248316.00,13248316.00
0.60,10,0.05,25,25,13095695.00,11883937.76
1.00,10,0.10,25,25,13120503.00,10986564.08
0.80,10,0.10,25,25,13087010.00,12463804.80
0.60,10,0.10,25,25,13056444.00,11068354.84
1.00,0,0.01,50,25,13303983.00,12239664.36
0.80,0,0.01,50,25,12774356.00,11314350.28
0.60,0,0.01,50,25,12991620.00,10051949.12
1.00,0,0.05,50,25,13066948.00,10239902.32
0.80,0,0.05,50,25,13091126.00,8067682.36
0.60,0,0.05,50,25,12373456.00,7585586.68
1.00,0,0.10,50,25,13154588.00,9843806.72
0.80,0,0.10,50,25,12170042.00,8083378.44
0.60,0,0.10,50,25,13118165.00,7825068.72
1.00,2,0.01,50,25,13289622.00,11542927.44
0.80,2,0.01,50,25,13014644.00,11697342.36
0.60,2,0.01,50,25,13062300.00,10578042.72
1.00,2,0.05,50,25,13188857.00,11875171.48
0.80,2,0.05,50,25,13166225.00,12045566.68
0.60,2,0.05,50,25,13338120.00,9678664.84
1.00,2,0.10,50,25,13151204.00,12350117.52
0.80,2,0.10,50,25,13214687.00,11067313.32
0.60,2,0.10,50,25,13091374.00,7869624.72
1.00,2,0.01,50,25,13196423.00,13196423.00
0.80,2,0.01,50,25,13269497.00,8594235.72
0.60,2,0.01,50,25,13065153.00,9141091.28
1.00,2,0.05,50,25,13223527.00,11109572.88
0.80,2,0.05,50,25,13191489.00,12136169.88
0.60,2,0.05,50,25,13205460.00,8942606.64
1.00,2,0.10,50,25,13372182.00,9911721.84
0.80,2,0.10,50,25,13237604.00,9758773.28
0.60,2,0.10,50,25,13062965.00,7643841.20
1.00,6,0.01,50,25,13050833.00,11353658.96
0.80,6,0.01,50,25,13235495.00,13082647.16
0.60,6,0.01,50,25,13260307.00,11597636.24
1.00,6,0.05,50,25,13052807.00,11423552.56
0.80,6,0.05,50,25,13205244.00,12115964.04
0.60,6,0.05,50,25,13081415.00,12438078.44
1.00,6,0.10,50,25,13200223.00,12129434.72
0.80,6,0.10,50,25,13419904.00,11574578.80
0.60,6,0.10,50,25,13043832.00,11478572.16
1.00,10,0.01,50,25,12875159.00,12360152.64
0.80,10,0.01,50,25,13278572.00,12713102.00
0.60,10,0.01,50,25,13187480.00,13058157.76
1.00,10,0.05,50,25,13150448.00,12624430.08
0.80,10,0.05,50,25,13158009.00,11687458.72
0.60,10,0.05,50,25,13028668.00,12941609.12
1.00,10,0.10,50,25,13046563.00,12905036.36
0.80,10,0.10,50,25,13130741.00,11914047.60
0.60,10,0.10,50,25,13121931.00,12336477.76
1.00,0,0.01,75,25,13240423.00,11551889.40
0.80,0,0.01,75,25,12902434.00,12310269.88
0.60,0,0.01,75,25,13185962.00,11603571.12
1.00,0,0.05,75,25,13111286.00,11217019.92
0.80,0,0.05,75,25,13097231.00,10477833.12
0.60,0,0.05,75,25,12844455.00,8269090.32
1.00,0,0.10,75,25,13120152.00,9488095.68
0.80,0,0.10,75,25,12880680.00,8699364.44
0.60,0,0.10,75,25,12493539.00,7340843.24
1.00,2,0.01,75,25,13117906.00,11814908.64
0.80,2,0.01,75,25,13151258.00,11906752.40
0.60,2,0.01,75,25,13197543.00,11505686.32
1.00,2,0.05,75,25,13407437.00,12100643.64
0.80,2,0.05,75,25,13202078.00,11539347.68
0.60,2,0.05,75,25,13319499.00,11512189.80
1.00,2,0.10,75,25,13309873.00,11295269.92
0.80,2,0.10,75,25,13360389.00,9636888.28
0.60,2,0.10,75,25,13389908.00,9811214.76
1.00,2,0.01,75,25,13461329.00,13461329.00
0.80,2,0.01,75,25,13103987.00,9003272.00
0.60,2,0.01,75,25,13211955.00,8943774.44
1.00,2,0.05,75,25,13154983.00,11566589.28
0.80,2,0.05,75,25,13202436.00,10313062.44
0.60,2,0.05,75,25,13146508.00,11331832.00
1.00,2,0.10,75,25,13405640.00,10964693.60
0.80,2,0.10,75,25,13312179.00,10882747.12
0.60,2,0.10,75,25,13382252.00,5912189.80
1.00,6,0.01,75,25,13130649.00,11974623.32
0.80,6,0.01,75,25,13156208.00,13156208.00
0.60,6,0.01,75,25,13261109.00,13105404.92
1.00,6,0.05,75,25,13037560.00,12277971.52
0.80,6,0.05,75,25,12969809.00,10822508.28
0.60,6,0.05,75,25,13080970.00,12501976.84
1.00,6,0.10,75,25,13262312.00,12399774.88
0.80,6,0.10,75,25,13202357.00,11009309.56
0.60,6,0.10,75,25,13332338.00,12123585.72
1.00,10,0.01,75,25,13058720.00,11829513.32
0.80,10,0.01,75,25,13068019.00,11869029.08
0.60,10,0.01,75,25,13046931.00,11958874.12
1.00,10,0.05,75,25,13080798.00,12005618.16
0.80,10,0.05,75,25,13213768.00,11934318.16
0.60,10,0.05,75,25,13475452.00,12187073.20
1.00,10,0.10,75,25,13379161.00,12308828.12
0.80,10,0.10,75,25,13051013.00,11395218.04
0.60,10,0.10,75,25,13145655.00,11693960.44
1.00,0,0.01,100,25,13216072.00,11412226.08
0.80,0,0.01,100,25,13209482.00,10485429.48
0.60,0,0.01,100,25,12837851.00,8510667.36
1.00,0,0.05,100,25,13046324.00,12452175.04
0.80,0,0.05,100,25,13297686.00,10641679.84
0.60,0,0.05,100,25,12878822.00,7557833.92
1.00,0,0.10,100,25,12677121.00,7371617.12
0.80,0,0.10,100,25,12489496.00,7034913.76
0.60,0,0.10,100,25,12019331.00,6571300.08
1.00,2,0.01,100,25,13236296.00,12045351.44
0.80,2,0.01,100,25,13132882.00,11056443.16
0.60,2,0.01,100,25,13308680.00,10583242.04
1.00,2,0.05,100,25,13194869.00,13176240.12
0.80,2,0.05,100,25,13293741.00,9685533.20
0.60,2,0.05,100,25,13213937.00,12245548.00
1.00,2,0.10,100,25,13203029.00,9547972.44
0.80,2,0.10,100,25,13348229.00,9363002.92
0.60,2,0.10,100,25,13280575.00,7318685.84
1.00,2,0.01,100,25,13257595.00,13143392.40
0.80,2,0.01,100,25,13205779.00,10755613.60
0.60,2,0.01,100,25,13218568.00,11402612.96
1.00,2,0.05,100,25,13155973.00,13086044.60
0.80,2,0.05,100,25,13366436.00,11551682.28
0.60,2,0.05,100,25,13173257.00,8883575.88
1.00,2,0.10,100,25,13209918.00,11060273.84
0.80,2,0.10,100,25,13331080.00,10809714.92
0.60,2,0.10,100,25,13282059.00,7986220.24
1.00,6,0.01,100,25,13164694.00,12407863.44
0.80,6,0.01,100,25,13318852.00,12008399.64
0.60,6,0.01,100,25,13173491.00,13173491.00
1.00,6,0.05,100,25,13298702.00,11661856.00
0.80,6,0.05,100,25,13141430.00,12031261.04
