Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150,Individuo 151,Individuo 152,Individuo 153,Individuo 154,Individuo 155,Individuo 156,Individuo 157,Individuo 158,Individuo 159,Individuo 160,Individuo 161,Individuo 162,Individuo 163,Individuo 164,Individuo 165,Individuo 166,Individuo 167,Individuo 168,Individuo 169,Individuo 170,Individuo 171,Individuo 172,Individuo 173,Individuo 174,Individuo 175,Individuo 176,Individuo 177,Individuo 178,Individuo 179,Individuo 180,Individuo 181,Individuo 182,Individuo 183,Individuo 184,Individuo 185,Individuo 186,Individuo 187,Individuo 188,Individuo 189,Individuo 190,Individuo 191,Individuo 192,Individuo 193,Individuo 194,Individuo 195,Individuo 196,Individuo 197,Individuo 198,Individuo 199,Individuo 200
0,175333,169014,174779,178383,184682,146281,171595,160153,183492,164306,170635,164320,162608,163156,178436,157659,166028,176069,157091,162987,174270,166830,155457,154374,175055,170653,161740,176811,186471,174666,171637,176198,167490,164741,176426,166429,175490,163540,169075,160263,168528,164663,173509,166362,166776,160995,152753,156777,172081,158628,180346,167990,166097,169474,164139,172939,165627,179289,179412,162497,172360,156131,167573,177723,159889,183623,164290,166965,178592,179677,175646,163495,162395,153073,167542,171129,168391,171015,188430,174069,158545,177592,160971,158716,176182,156063,170328,182301,180771,185126,181337,172142,151648,164530,163363,168981,169350,164534,156611,174385,169881,172345,177655,158303,176796,169772,167166,171514,153699,158755,176118,156752,167742,178396,171970,179488,185200,169173,175488,167181,160279,163947,168271,169017,166502,159545,179778,158507,160063,162307,169930,185210,178352,161325,176250,164313,162727,168579,176638,160917,176536,160425,161152,162585,173613,182933,181370,170326,170061,180409,167885,175810,169224,155053,163444,161902,163366,171216,168345,163186,169933,164160,168859,168873,177043,176470,171918,169647,169671,174825,157448,165582,160466,171898,163782,160709,175294,165155,172343,162009,173951,178249,165657,174317,173038,173660,158439,181049,168929,167215,166359,184710,165808,163841,170174,168565,173741,167316,172087,181413
1,146281,151648,152753,153073,153699,154374,167728,146776,169375,171118,180630,202892,176773,180736,159971,173635,166605,168497,172643,179303,157257,174873,173703,161542,166194,172239,174097,175712,169801,161627,165324,162891,171261,171106,179780,166213,185708,156451,160106,167613,166138,184378,175254,174610,173318,176067,177757,160910,154712,178389,181916,181266,179671,192682,167529,163261,180782,170313,171216,159784,182126,175163,170312,176578,172658,159180,180089,161914,158020,174254,170665,172825,167938,165623,156600,179479,180542,161693,170355,160969,169434,159279,174059,169813,164265,165851,174279,164494,172701,177512,165288,170433,182506,171827,171137,175416,170013,182107,163131,163999,165068,162303,165444,169580,170702,164065,168442,163295,169048,165710,179280,168794,163897,162724,167640,182713,165179,183276,176108,172184,169223,169176,177702,170023,154280,156832,171445,173915,180475,174468,161562,160365,172973,172306,168213,169036,171805,171860,184183,180627,164065,166919,169519,190605,181062,166962,173197,173255,170808,173692,176311,162949,167595,165627,181013,166911,173191,190887,155565,175274,174952,166977,171921,157179,163992,169370,179196,172390,179254,156443,166722,163728,168880,173219,162746,176119,163635,184928,160956,180793,170169,166212,170077,180958,173517,178260,171682,166458,167555,177592,169199,158807,154230,158164,183122,174162,166941,148348,173884,167697
2,146281,146776,148348,151648,152753,153073,167213,168549,171941,175573,165973,177577,178720,174856,171379,167470,165279,173822,167300,166230,176745,171817,156626,177570,161609,160963,167293,173856,175958,172720,174396,165208,173299,168072,181563,182032,178675,180570,182623,178805,183615,156176,165349,177662,182607,171884,177276,176987,170757,168258,171072,170112,172119,167339,155074,181572,172057,166014,165696,167314,173864,161817,168937,175252,172775,161144,158506,160226,169164,161535,164575,183398,168284,165287,180134,167157,181932,169397,155116,158401,170843,172896,184251,177592,177890,169270,173443,169502,166718,166918,186221,177643,169850,166582,156832,165179,159779,164059,165285,175772,179017,176973,155312,152603,157755,170434,185714,168269,182443,174612,171303,175191,165005,166980,170790,168871,161985,174393,177006,178916,178325,172561,164091,182635,171748,170239,171116,176993,160173,178794,165660,186815,172535,171278,168722,168259,165898,165831,159732,170235,180542,170803,187652,174580,162657,169120,173340,167790,167803,170007,176067,190887,166761,167259,161308,161777,168802,173197,166528,182337,151748,159637,165420,178740,175360,162932,185747,171249,169233,163509,164689,153146,172616,160061,175274,170169,165308,168703,165925,174107,161291,177559,160258,156852,165123,164804,170329,170773,163165,166257,173492,165972,175085,169978,172596,163236,163209,168287,181600,181471
3,146281,146776,148348,151648,151748,152603,164140,162409,167824,162042,171917,179445,180625,176329,172616,165973,169619,165188,169551,168830,174089,159361,169589,179228,165618,158524,162149,169157,167418,174594,177701,158293,173120,169264,176789,162079,166172,187655,168489,177114,157775,162489,166931,163781,168435,177728,174159,168896,184854,150565,168167,151979,172659,162621,167397,171029,170486,161965,172893,179472,176912,149410,173285,174641,168834,174963,160339,176814,174662,169195,160092,173818,160729,184348,168496,162491,179360,168707,166249,183607,167293,160922,167462,176317,163345,168909,156518,178300,186850,162569,182955,177888,190112,175841,165942,156308,165032,167707,179827,167062,165683,165353,182065,175699,157123,185127,178671,169104,159924,166829,166559,166416,166116,175336,170561,155845,169918,172284,173255,168365,174879,174025,163471,161297,160619,155329,170620,177093,181974,179260,170085,156237,167094,168300,165203,167166,167629,173158,179968,173684,186609,169405,171759,170369,171743,152125,184265,156019,183630,169092,168004,185843,164591,178594,163669,169156,158495,170581,168117,173773,177570,177662,167975,173537,181376,151958,167283,174182,171746,176147,158729,167772,186622,178705,166764,171570,176973,165233,163798,162528,170810,163359,166157,174389,174523,173345,188363,167157,163139,160372,160459,164162,176835,170464,176738,178312,171891,161255,170433,162931
4,146281,146776,148348,149410,150565,151648,174042,176984,159361,176937,170236,185249,172801,171161,162492,186616,190038,164794,158680,176845,168417,165605,178239,166088,162117,165276,178571,169582,178817,174302,177903,167224,180625,176569,171768,175875,167157,173617,176506,183770,177923,171858,175851,164190,154596,177953,165577,154170,165818,183079,170882,159323,183301,167886,171804,166070,152180,175144,161195,163508,156558,163607,184001,170766,153182,164659,172927,159749,176050,181236,171688,167554,166743,176044,180270,169895,179885,177548,156672,156958,178975,174170,164928,173132,167046,177452,170702,143807,167890,174368,171615,170136,168126,155960,167595,167664,173202,158644,165421,178367,164533,175395,157354,172540,164947,173547,176290,159150,167599,162856,170994,168092,160227,164655,176569,171035,167029,175558,172352,166944,151748,179233,172187,176218,175822,161604,164199,163507,173425,157358,167350,166939,178202,166958,149992,169560,162730,181843,177590,183081,156369,168339,172855,175975,170206,172329,189729,182523,155380,174087,164289,175963,180000,167717,171768,159068,165802,168278,166127,180417,178576,158729,168450,181554,162593,155791,162492,177951,158413,166727,161241,165239,168688,174423,172731,153577,161345,178297,178249,167434,157432,171124,168071,171338,153591,174810,156053,164681,184159,150647,180167,179415,171485,170245,153666,170203,169648,159403,172590,169379
5,143807,146281,146776,148348,149410,149992,166394,174002,177790,153359,181816,179024,168057,160379,177442,167885,167494,168973,175917,174253,172660,180237,172888,181663,179697,173982,167822,151967,179209,175076,179399,166484,176117,172203,160646,164413,176937,172362,169724,148008,157354,170280,178018,183509,166479,172361,167915,154007,162045,176298,166801,177682,167706,162946,171445,156420,169875,168304,174487,179930,175697,178027,174012,162824,162890,170367,168035,166672,165029,182442,188044,183383,167788,176977,156844,176515,159867,178592,171295,182525,167006,164193,155059,166252,189589,156928,175930,184296,163462,171652,165122,168062,165571,164508,167993,191749,167064,166279,169912,162568,172502,169878,171035,165668,170797,168112,164792,176632,169599,176408,173100,179169,174345,172331,162653,159615,165519,166496,176495,176574,161570,184898,156782,166736,176913,151831,167678,174068,152019,162956,179073,176139,162329,176699,159871,156570,165061,171813,158905,170366,166625,168867,168257,171677,173752,169773,166370,174316,165334,173805,157260,170589,181505,164589,174289,166212,161506,178746,163039,173676,161795,163128,153983,170564,156116,173695,157390,171785,166826,171781,162148,176526,173715,178548,167392,177355,160435,170394,158000,172329,175484,178209,164943,170339,163966,167039,155124,163971,161954,162260,177103,167967,170929,172118,175723,158975,162891,161053,157541,161226
6,143807,146281,146776,148008,148348,149410,174977,155925,170797,168312,151392,165775,180369,160331,160409,167508,174730,163979,161863,161677,157614,164825,163507,159789,182936,176646,152453,146871,160628,169815,178009,175517,167776,163708,159353,155967,151283,170062,159888,167035,169939,171323,181118,158200,179639,170997,156100,169974,188723,157900,182808,177546,169524,171361,170502,169211,167233,178136,174874,171320,168666,167064,172284,184037,167406,155800,166310,156031,170125,170638,169652,168552,166175,176896,170349,171944,161287,170354,174626,166913,177712,172993,173674,162388,174315,164300,147383,164413,155531,161293,171637,171636,172173,174390,170652,158946,175348,158325,165122,182308,166473,169021,168679,156643,166074,169150,175724,171146,162946,170963,159807,162946,167536,165196,147932,177417,175712,156739,174049,170141,145237,171356,171034,160325,175611,169562,163705,152510,176589,180019,170359,166335,165488,164966,159281,162291,170394,163061,169975,180691,169200,178573,168853,183179,167553,163441,167909,176377,190100,169205,165010,173336,163810,165101,165487,164060,165282,175399,163727,180851,157678,160590,164154,162407,161088,162967,169193,176959,161481,175082,185866,170355,148734,168188,173753,162653,163676,155748,172617,169531,176940,174173,172665,181327,173210,171183,170102,165291,152076,159494,173112,172882,161858,175864,177228,175551,172694,160554,169170,155118
7,143807,145237,146281,146776,146871,147383,157506,154941,159347,164543,165073,163012,163829,171970,167654,167933,172979,166846,150651,168925,175299,150814,166842,168000,161022,165287,159902,163629,168655,179639,159363,165817,170318,173242,162303,170690,160220,177019,181900,167982,167572,163051,166573,181807,166850,172265,172145,168111,174354,158414,178107,168345,173551,158913,171074,172047,166911,177613,173763,161982,170491,181634,163813,168282,145937,170305,163281,185998,148808,172150,156460,175123,175381,170260,161905,165719,169078,165561,170191,169274,174419,180019,148791,163913,158784,173761,187722,177711,172674,171723,178218,166694,158767,161855,159800,168523,168181,152707,163998,169734,159426,172440,152090,168351,160490,151925,168176,174335,177474,160439,157692,161166,171630,180626,168228,173543,181860,161698,167776,166354,170683,159234,159100,164714,167900,166183,164455,159146,173497,159207,168842,179819,166635,161694,173330,158568,176514,155634,168598,169867,164780,162092,174874,157487,171021,164459,171532,165799,171344,172899,157280,166045,157404,162080,169541,161809,167017,179394,165742,161277,172100,171294,145664,166914,189645,184957,165714,170708,182955,165745,171924,165011,182420,173781,159547,156050,168052,158050,163200,162148,175782,163611,172594,169605,166809,161320,173767,178233,170419,165589,171686,183292,168118,175224,165434,161149,158872,164748,165917,166923
8,143807,145237,145664,145937,146281,146776,157680,161995,155763,170056,163681,165991,184317,161606,170068,163580,166808,159822,175082,162153,179143,174124,168618,158136,168973,152905,154884,153449,173032,160765,164636,159083,149397,166506,154742,171080,179119,173261,163627,167745,188247,169265,167335,173315,166182,156138,169072,166723,172548,166611,168284,156983,168207,173930,170893,171271,171708,172970,178247,174524,170147,170717,169349,161916,169283,165114,166761,147926,172028,165517,162072,166834,161248,162619,166053,146002,166987,171679,168018,166655,158124,153608,171066,177480,165351,173940,175933,169964,170694,164329,157877,168621,146432,161479,171694,178496,169230,161209,167801,176252,149499,165287,160894,169516,170417,146346,158223,166465,168176,166809,182633,170054,162472,144706,166616,157987,150834,161709,172525,167845,173892,184431,163998,163477,178770,167494,158164,161463,179939,175974,173242,165561,156495,161679,168022,166457,155428,176023,167562,172940,173543,165046,170305,171532,182670,177201,159590,176596,162981,164432,168585,158728,160170,146392,169127,165427,139866,176528,162994,168101,167677,163853,170342,173571,155507,167512,169341,162982,161082,159029,157692,169983,156267,158563,163797,168856,175144,177958,158585,161548,170608,166980,153826,160038,165755,173993,160616,154625,163551,165917,168826,159672,165519,165767,169617,172593,171190,162191,158120,160361
9,139866,143807,144706,145237,145664,145937,155288,152662,163177,164337,169373,162747,161432,171458,157215,170158,175718,171416,175247,158432,164831,178070,162619,164133,176466,153924,171168,170113,162781,158385,170555,168212,158250,170863,169940,166759,183341,165339,182107,167951,167848,161847,163549,167271,169928,168558,165698,158843,164351,160268,166190,167956,175398,175248,162588,164208,173731,162982,172548,153766,169454,169589,176782,156941,164773,173917,166500,169340,167834,162741,183215,156094,179333,167070,163862,175098,159822,168596,166119,145576,160148,158146,160308,170277,180186,168286,170316,162178,164770,175928,161990,174908,156454,160762,164438,150436,148768,164402,160872,154368,158553,161984,168321,169024,155334,178488,163305,165916,167562,163477,165276,166251,164878,163138,178477,165929,167963,156415,166767,172602,163331,149083,173437,159075,168623,173005,153870,163461,163426,177927,178009,161602,168742,174925,166799,167707,160885,154180,161922,166064,150950,158655,160618,157395,150001,172339,175410,169130,163457,179775,154391,161862,175211,168747,176224,174738,168717,167280,166747,170250,171557,164468,167964,170356,162471,166580,165151,174203,170930,168688,150601,158695,167074,166415,159199,152520,165797,166708,164196,162418,171765,171590,163797,147926,179342,162257,167932,181738,167634,165841,169337,176225,165577,171136,164706,160819,165139,163720,152260,159807
