Geracao,Individuo 1,Individuo 2,Individuo 3,Individuo 4,Individuo 5,Individuo 6,Individuo 7,Individuo 8,Individuo 9,Individuo 10,Individuo 11,Individuo 12,Individuo 13,Individuo 14,Individuo 15,Individuo 16,Individuo 17,Individuo 18,Individuo 19,Individuo 20,Individuo 21,Individuo 22,Individuo 23,Individuo 24,Individuo 25,Individuo 26,Individuo 27,Individuo 28,Individuo 29,Individuo 30,Individuo 31,Individuo 32,Individuo 33,Individuo 34,Individuo 35,Individuo 36,Individuo 37,Individuo 38,Individuo 39,Individuo 40,Individuo 41,Individuo 42,Individuo 43,Individuo 44,Individuo 45,Individuo 46,Individuo 47,Individuo 48,Individuo 49,Individuo 50,Individuo 51,Individuo 52,Individuo 53,Individuo 54,Individuo 55,Individuo 56,Individuo 57,Individuo 58,Individuo 59,Individuo 60,Individuo 61,Individuo 62,Individuo 63,Individuo 64,Individuo 65,Individuo 66,Individuo 67,Individuo 68,Individuo 69,Individuo 70,Individuo 71,Individuo 72,Individuo 73,Individuo 74,Individuo 75,Individuo 76,Individuo 77,Individuo 78,Individuo 79,Individuo 80,Individuo 81,Individuo 82,Individuo 83,Individuo 84,Individuo 85,Individuo 86,Individuo 87,Individuo 88,Individuo 89,Individuo 90,Individuo 91,Individuo 92,Individuo 93,Individuo 94,Individuo 95,Individuo 96,Individuo 97,Individuo 98,Individuo 99,Individuo 100,Individuo 101,Individuo 102,Individuo 103,Individuo 104,Individuo 105,Individuo 106,Individuo 107,Individuo 108,Individuo 109,Individuo 110,Individuo 111,Individuo 112,Individuo 113,Individuo 114,Individuo 115,Individuo 116,Individuo 117,Individuo 118,Individuo 119,Individuo 120,Individuo 121,Individuo 122,Individuo 123,Individuo 124,Individuo 125,Individuo 126,Individuo 127,Individuo 128,Individuo 129,Individuo 130,Individuo 131,Individuo 132,Individuo 133,Individuo 134,Individuo 135,Individuo 136,Individuo 137,Individuo 138,Individuo 139,Individuo 140,Individuo 141,Individuo 142,Individuo 143,Individuo 144,Individuo 145,Individuo 146,Individuo 147,Individuo 148,Individuo 149,Individuo 150,Individuo 151,Individuo 152,Individuo 153,Individuo 154,Individuo 155,Individuo 156,Individuo 157,Individuo 158,Individuo 159,Individuo 160,Individuo 161,Individuo 162,Individuo 163,Individuo 164,Individuo 165,Individuo 166,Individuo 167,Individuo 168,Individuo 169,Individuo 170,Individuo 171,Individuo 172,Individuo 173,Individuo 174,Individuo 175,Individuo 176,Individuo 177,Individuo 178,Individuo 179,Individuo 180,Individuo 181,Individuo 182,Individuo 183,Individuo 184,Individuo 185,Individuo 186,Individuo 187,Individuo 188,Individuo 189,Individuo 190,Individuo 191,Individuo 192,Individuo 193,Individuo 194,Individuo 195,Individuo 196,Individuo 197,Individuo 198,Individuo 199,Individuo 200
0,178951,167216,174092,165573,164465,158894,174352,183671,171891,183285,159601,165766,158897,176871,175016,175743,162354,160798,171567,173477,166418,171972,160906,174797,163809,161350,175709,169179,158406,169609,175906,166143,166787,173976,167733,171850,175931,169908,176911,165477,175874,169959,189816,166706,173596,162551,183346,178822,164389,149291,168937,164592,169970,176500,168943,171207,168538,171127,159969,165719,168208,168338,176704,152961,182383,168990,168351,176579,151666,177025,179359,171345,188158,176624,174162,168955,181899,166758,171435,189231,181683,171756,175994,179304,168789,173511,168435,168991,173198,177989,181650,174811,162392,176880,175028,168605,154002,153482,171119,163870,158234,152744,170570,174550,164527,181437,183012,171076,177538,163210,167738,169953,162128,173505,164019,175845,158489,174097,167952,167460,170266,182760,159328,156730,185084,159021,169125,174678,168104,174961,175234,163373,166443,170884,171817,163497,177517,164264,163683,172362,174694,164717,161475,156907,170300,173768,168944,163202,166289,177156,174626,182057,160566,168283,170624,155479,181377,180254,165112,163424,172465,164448,174044,171781,186130,165044,179994,165727,174710,170457,172045,179356,174534,167410,166854,171091,161773,173399,174597,158127,165823,167820,181153,172130,181707,174585,179539,168526,166009,168671,168006,164368,169718,164990,175678,165269,179037,173427,169083,176670
1,149291,151666,152744,152961,153482,154002,167220,179827,183748,164939,170245,178898,161995,186859,151960,174030,170417,167180,171337,156042,179286,172268,164637,164775,171404,164583,156513,177197,164597,159632,166992,175002,167057,171280,167031,169653,161943,156289,158940,183164,166404,174585,166374,162551,173484,170153,156221,170240,171117,162690,155640,168771,152668,160923,158132,166289,182718,160334,162651,156631,168877,174231,158207,159328,165443,173677,167643,159343,159404,167261,178673,162609,158127,158127,163170,175678,162210,171196,152544,173103,170230,159795,174578,168713,181853,160281,162191,171268,162798,155641,168862,157888,166760,175778,172259,175867,170751,163527,172582,168697,160955,163647,163210,165932,169514,157888,177834,166097,159909,162146,170754,161545,173280,162039,162570,174896,170522,165521,165266,166585,168654,180270,166291,169648,156539,163303,159188,165679,163099,174987,165793,174483,172362,163649,168955,175263,158443,168439,163118,179883,175635,163846,173489,155028,171975,181393,155746,163183,163970,186943,174034,165952,170678,173811,175282,159845,165164,159820,168972,175784,163236,153628,171291,174342,172664,177401,159541,172522,171058,178027,170998,174301,164496,176032,171678,163941,163118,169718,171455,167490,158736,164428,172838,160977,165656,175610,168024,160011,166605,166081,165236,174302,187293,182068,178357,160488,168205,170113,160683,164963
2,149291,151666,151960,152544,152668,152744,158743,168243,149921,161900,168897,164668,163971,158648,155958,178403,163102,162083,165202,168842,156457,168636,166568,170806,165357,172766,158098,156441,182374,169808,175445,155726,159432,169116,159618,161531,167812,171874,165885,157181,157914,167392,177640,153428,160904,177470,159820,171568,165250,160605,158463,150996,170644,180835,166209,152338,156082,163590,163282,176103,154797,163094,174471,161633,166235,177390,171856,169552,152755,174296,182241,152587,147271,173051,160881,165326,179555,169436,171773,167710,154328,163770,169450,165971,164600,150865,157487,165384,172922,150264,160126,170903,159845,178027,158750,174350,170513,166232,177356,169451,167209,154771,172185,159901,184097,161430,167495,161525,158716,163141,161415,150684,175368,175857,167962,153568,168654,154881,173854,155922,171444,170530,170039,177907,166178,157952,167264,177811,166769,179301,157934,164102,182833,171655,160106,152043,178238,175232,169231,164744,170544,171583,166198,166160,161753,177510,166793,176279,154137,160958,163029,186516,165590,165002,178373,158160,166258,158620,169498,164439,180649,168817,161389,166515,161332,168650,172367,162556,172952,161888,169883,169838,168872,154583,154595,137010,159944,167301,168730,167928,168730,170693,166724,163360,174041,161791,172868,161449,164689,158331,169141,165055,157120,162651,162338,168641,182706,164824,160986,167490
3,137010,147271,149291,149921,150264,150684,153530,171148,162720,154441,171028,167396,168797,165031,155035,168472,178547,171164,165169,165755,158901,168260,157834,167698,165986,157230,155926,169196,165893,172470,167642,159370,166975,161966,171935,163617,165303,157238,153006,154805,171911,165953,167333,163972,170803,166910,154629,167495,162507,155373,176247,161722,162489,166727,179493,158605,156813,152813,166945,151930,161602,163052,169828,169205,160878,174911,142950,158539,160220,171913,171903,171191,164952,160623,169241,153822,179232,157560,161176,167421,161914,156088,146063,159536,164125,167227,162873,167495,164515,163489,165186,166068,178392,179912,178897,161877,163628,156629,165299,170612,152668,154264,170229,173455,161420,175823,171784,167352,164344,155549,157152,165086,170367,164924,164483,160129,180153,174493,168183,156287,161739,150735,173838,169080,161480,164086,168677,168315,160029,166544,161736,169110,151556,162157,153798,165272,159944,155940,169632,158583,167315,160925,162438,171673,149181,162556,168121,158782,151186,153428,151666,161649,182940,165333,159527,156155,158407,142900,166099,160068,147811,175623,159478,158186,154830,154610,173425,164000,163706,153120,171901,165513,166829,158974,162362,167653,158529,160943,165862,167412,155984,174492,169420,151775,165313,166118,153772,157024,163991,166455,162646,162863,150685,159479,161834,170802,159394,152245,166644,162973
4,137010,142900,142950,146063,147271,147811,170569,161237,168405,166632,159754,157040,165482,160298,161024,160103,158903,168983,159588,166039,152421,158946,160173,164278,166360,166791,176539,178976,167827,153616,168235,150906,168331,168013,174568,170331,165685,158982,167093,159905,178274,155562,165335,152089,158320,156212,157246,175961,151013,168341,157061,161797,159056,153973,151614,160102,172309,163100,166967,165232,163630,149082,155087,168472,161617,175885,178911,156476,157583,164623,151381,159944,163836,151544,156879,176144,169017,178076,155773,175316,164259,151980,143658,159277,155463,165463,157080,176788,159380,157154,169877,162841,165663,180538,157105,152799,171598,177180,162961,159479,168583,151272,177550,163852,170832,168492,153880,166576,166431,167209,163327,167159,164165,164041,163446,156959,161775,166859,168017,158341,157281,157357,165389,175895,162191,173473,160703,179085,150186,167176,160719,150764,155827,156553,152287,155632,171156,156272,171365,157181,158267,159420,171799,167145,158752,149086,142550,170977,167684,176895,173323,167020,172768,170721,160987,160680,148423,175600,168256,165105,149467,159631,160433,162741,155215,163402,145632,164003,166313,169453,165464,159546,161901,154298,146521,171606,159550,173826,163095,174268,158660,160565,154989,152738,172202,172812,157491,160137,158901,158901,153250,150103,159961,151234,168551,161208,146213,166334,158499,156424
5,137010,142550,142900,142950,143658,145632,155200,162433,157254,164138,159104,153878,156438,166918,166623,153504,175200,156635,159730,171495,152606,165823,156999,162411,145465,164322,166432,163391,154596,159795,171100,167124,160709,154463,163665,156621,162396,157415,155605,159056,143519,160296,181831,163219,161851,146904,145042,165164,154573,158405,171859,154346,141730,156183,158997,148295,165487,160674,156979,159385,166736,168081,172392,159538,161561,158366,161242,168860,153880,158006,167928,157424,156725,154800,147388,160149,168144,155334,160674,156695,168360,156946,169299,174196,161825,153547,174888,158842,178129,169808,169344,145673,159893,160264,157500,174334,168318,151052,151714,168153,147295,169566,163093,151495,170710,161675,149958,149562,161299,166553,153075,161816,155600,166235,158906,174538,157660,158869,154351,160524,160172,159389,170116,147118,156495,156094,179580,154817,173228,161121,172802,168660,165881,178718,158856,163232,160067,161199,157395,163042,157902,162093,161593,163914,162153,176263,175562,164742,160019,165436,166642,161477,163234,150207,168536,176267,162536,152290,157873,159565,159869,154513,153782,163303,153672,161612,144525,159880,166773,158858,159390,165541,159156,154692,160183,159535,173802,163130,159626,160495,167146,162654,164191,158553,154637,161711,161128,168463,165219,158395,152309,152936,162117,147185,169685,156213,163872,162070,144564,171870
6,137010,141730,142550,142900,142950,143519,161722,165282,162581,157990,160129,157352,174122,163783,162029,162146,150575,162409,160690,166770,152797,163448,164715,169842,169858,156566,147128,164921,172889,158781,146304,158527,160616,168084,167089,162162,166381,169097,163934,162895,160012,150036,160113,158687,160009,153297,155605,156538,166577,153851,165437,154899,157455,164657,157191,158122,148488,155090,159851,161524,157778,157923,156028,154340,157052,159620,155361,151447,161875,158810,169490,148637,160978,157903,157294,179112,162601,156815,148591,169895,159683,166688,167397,154500,155348,153286,152519,170584,172387,162368,166372,154502,156427,167875,163726,152462,178752,166977,158821,156799,148192,154713,155204,169691,160561,159599,167609,151861,165022,160788,162978,156712,164342,177551,159337,151490,163824,159470,168382,158136,158773,153812,164660,153504,153345,151580,154059,155499,160244,145655,165689,175988,155164,157639,167860,174993,166839,154501,168366,157575,152901,162541,160180,152561,147562,163251,159149,162155,155660,149838,159451,154427,148267,157696,150317,160444,155605,153311,144310,157735,145412,157168,161942,149242,153808,156896,169064,182237,154430,166834,159977,174478,158561,160079,152923,153878,158605,155323,161823,148267,161033,151697,161213,146414,154938,163991,147204,153853,148263,163383,158022,169572,155367,156083,170986,148673,158856,147827,167011,168614
7,137010,141730,142550,142900,142950,143519,160421,174130,154398,149730,163755,163543,172859,152342,157359,159152,162298,160779,148247,159641,164832,160043,154841,159772,161731,152774,154499,168960,150317,157514,153857,150835,164490,161806,150309,154189,161211,159959,153762,150868,160061,156669,153441,153619,162501,148850,153659,167473,155631,168968,155933,159728,153705,170544,160741,167174,155112,150317,160772,162433,162613,151594,161251,156196,157342,154893,152868,154666,165772,154394,155308,162949,167562,159359,151366,143820,151293,162878,167053,147772,153221,165442,157052,146626,157252,172057,159913,150566,152519,154698,167340,164911,159066,145556,159777,155658,141408,168846,157053,159800,159495,165474,163638,148860,161394,142110,160779,159875,167121,161929,163278,153560,163134,162205,169691,168416,147990,167971,170294,164283,157106,160036,156566,147401,183347,153872,162793,149613,151515,154915,159789,160976,151744,166477,160224,158982,154009,161033,175152,166007,153425,162339,161801,158394,148974,157896,158739,170993,150966,176458,159029,158779,171584,162302,153424,154633,160701,169121,154854,142132,162640,161898,150941,169795,157399,167531,153161,156557,171001,155294,173272,157479,151715,157818,162424,158276,154079,156718,158293,162030,161694,177967,168396,141188,170064,162557,159682,147646,149411,158030,134821,149518,166205,163901,148304,161884,165867,165377,156245,144782
8,134821,137010,141188,141408,141730,142110,165686,156689,158494,162628,156000,166232,161681,164373,159485,157382,158454,160792,152904,181889,155750,165596,168385,160374,157458,164525,161168,167392,163559,156670,156392,153347,162280,151602,161797,156514,163909,153879,161886,167439,165031,159299,160734,152537,172119,164675,153487,166212,167134,161884,160821,153911,171558,152067,159258,155453,167318,152678,162814,150036,172518,149026,145536,147423,149918,166576,164874,156337,146056,161397,164825,150222,156555,155055,169433,159274,151518,169307,164573,144758,166495,174437,166278,155884,154117,154184,165965,163382,150196,148706,146005,165093,156557,159660,157447,155898,145430,161598,152782,155950,156066,150125,159379,165463,158781,146149,159097,167357,149076,163530,161739,168195,157039,157625,155600,157745,157812,169009,154355,162891,148293,157198,173486,166530,149858,163887,173160,151430,161511,157886,153565,174900,151650,158659,159519,179716,175617,164371,159848,167501,156430,169085,168174,155895,168378,161178,153274,143783,174455,163172,153874,163848,140082,146216,155888,161179,154714,162920,153853,155856,156463,150079,164702,174308,176678,160019,155486,176618,182808,180270,157053,145312,161070,151993,160955,144764,144871,152999,161205,159595,151143,142761,145406,165157,151380,172010,173749,141269,152714,165956,140099,158668,139671,159090,166416,156295,147776,156177,151931,160954
9,134821,137010,139671,140082,140099,141188,155673,161344,161132,164711,159869,165554,157825,158662,145912,154620,152237,149964,170543,152704,157101,151242,166867,148494,156425,164088,167337,154998,178589,151069,159002,152165,150073,162821,150982,155974,146216,150125,161141,163387,154155,156552,167015,155724,174777,150756,170633,152297,163347,151232,177270,173574,162363,155562,156657,155295,168888,171130,159583,158591,155139,162493,173441,137628,156769,156492,163183,160112,168842,166814,154486,158443,167545,148858,150555,166982,156430,162894,145435,156836,158413,158940,156154,162257,160186,142111,141987,134007,147931,158571,172196,165465,160311,148834,173010,158803,137420,146701,153363,168214,159908,173983,158981,156474,155230,163145,155489,165210,157559,160759,170322,159222,174095,153682,166685,172562,149043,141767,166894,155005,164510,154026,158487,160152,166637,149450,143469,160306,159618,160208,170040,150722,156494,150059,160746,167139,162022,149615,157186,161822,162538,161602,166453,168775,150060,153398,159158,160989,164514,154639,149904,163236,168613,140795,154738,152404,146575,175288,160296,168390,151985,163244,146613,170113,166154,158687,149228,165741,158358,164172,146785,164074,159668,151670,159563,147922,148802,156324,173469,160772,171100,156707,168054,157826,168571,166628,148942,157651,147675,166867,149881,162855,153978,166539,171726,154123,165212,160266,155050,175244
